,01.03.2026 21:28:16,01.03.2026 21:32:35,02.03.2026 04:49:15,03.03.2026 04:47:45,04.03.2026 04:41:18,05.03.2026 04:45:36,06.03.2026 04:43:01,07.03.2026 04:22:07,08.03.2026 04:43:56,09.03.2026 04:52:40,10.03.2026 04:43:00,11.03.2026 04:44:06,13.03.2026 04:45:17,14.03.2026 04:43:20,15.03.2026 05:06:49,16.03.2026 05:16:57,17.03.2026 04:52:43,18.03.2026 04:57:32,19.03.2026 04:55:32,20.03.2026 04:48:10,21.03.2026 04:26:53,22.03.2026 04:53:18,22.03.2026 19:00:19,22.03.2026 19:25:46,23.03.2026 05:04:31,24.03.2026 04:54:25,25.03.2026 04:55:08,26.03.2026 05:07:40,27.03.2026 05:08:17,28.03.2026 04:53:53,29.03.2026 05:11:41,30.03.2026 05:26:26,31.03.2026 05:10:12,01.04.2026 05:25:51,02.04.2026 05:04:12,03.04.2026 05:05:46,04.04.2026 04:51:06,05.04.2026 05:13:11,06.04.2026 05:25:47,07.04.2026 05:10:22,08.04.2026 05:12:22,09.04.2026 05:10:44,10.04.2026 05:26:26,11.04.2026 04:56:47,12.04.2026 05:24:55
15.08.2026 - 22.08.2026,4775,4775,4775,4782,4780,4780,4780,4780,4780,4780,4780,5080,4849,4849,4849,4849,4849,4849,4849,4849,4849,4849,4849,4849,4849,4849,4849,4849,4849,4856,4856,4856,4856,4856,4856,4856,4856,4856,4856,4856,4856,4856,4856,4856,4856
15.08.2026 - 29.08.2026,6220,6220,6220,6253,6269,6269,6269,6269,6269,6269,6269,6569,6338,6338,6338,6338,6338,6338,6338,6338,6338,6338,6338,6338,6338,6338,6338,6338,6338,6346,6346,6346,6346,6346,6346,6346,6346,6346,6346,6346,6346,6346,6346,6346,6346
22.08.2026 - 29.08.2026,4982,4982,4982,4982,4980,4980,4980,4980,4980,4980,4980,5280,5049,5049,5049,5049,5049,5049,5049,5049,5049,5049,5049,5049,5049,5049,5049,5049,5049,5056,5056,5056,5056,5056,5056,5056,5056,5056,5056,5056,5056,5056,5056,5056,5056
22.08.2026 - 05.09.2026,6340,6340,6340,6343,6360,6360,6360,6360,6360,6360,6360,6660,6429,6429,6429,6429,6429,6429,6429,6429,6429,6429,6429,6429,6429,6429,6429,6429,6429,6436,6436,6436,6436,6436,6436,6436,6436,6436,6436,6436,6436,6436,6436,6436,6436
29.08.2026 - 05.09.2026,5036,5036,5036,5054,5052,5052,5052,5052,5052,5052,5052,5352,5109,5109,5109,5109,5109,5109,5109,5109,5109,5109,5109,5109,5109,5109,5109,5109,5109,5117,5117,5117,5117,5117,5117,5117,5117,5117,5117,5117,5317,5317,5317,5317,5317
29.08.2026 - 12.09.2026,6157,6157,6157,6174,6192,6192,6192,6192,6192,6192,6192,6492,6249,6249,6249,6249,6249,6249,6249,6249,6249,6249,6249,6249,6249,6249,6249,6249,6249,6256,6256,6256,6256,6256,6256,6256,6256,6256,6256,6256,6456,6456,6456,6456,6456
05.09.2026 - 12.09.2026,5387,5387,5387,5386,5384,5384,5384,5384,5384,5384,5384,5684,5453,5453,5453,5453,5453,5453,5453,5453,5453,5453,5453,5453,5453,5453,5453,5453,5453,5461,5461,5461,5461,5461,5461,5461,5461,5461,5461,5461,5711,5711,5711,5711,5711
05.09.2026 - 19.09.2026,6425,6425,6425,6425,6443,6443,6443,6443,6443,6443,6443,6743,6512,6512,6512,6512,6512,6512,6512,6512,6512,6512,6512,6512,6512,6512,6512,6512,6512,6520,6520,6520,6520,6520,6520,6520,6520,6520,6520,6520,6770,6770,6770,6770,6770
12.09.2026 - 19.09.2026,5178,5178,5178,5184,5182,5182,5182,5182,5182,5182,5182,5482,5251,5251,5251,5251,5251,5251,5251,5251,5251,5251,5251,5251,5251,5251,5251,5251,5251,5259,5259,5259,5259,5259,5259,5259,5259,5259,5259,5259,5259,5259,5259,5259,5259
12.09.2026 - 26.09.2026,6216,6216,6216,6223,6241,6241,6241,6241,6241,6241,6241,6541,6309,6309,6309,6309,6309,6309,6309,6309,6309,6309,6309,6309,6309,6309,6309,6309,6309,6317,6317,6317,6317,6317,6317,6317,6317,6317,6317,6317,6317,6317,6317,6317,6317
19.09.2026 - 26.09.2026,5053,5053,5053,5053,5051,5051,5051,5051,5051,5051,5051,5351,5109,5109,5109,5109,5109,5109,5109,5109,5109,5109,5109,5109,5109,5109,5109,5109,5109,5117,5117,5117,5117,5117,5117,5117,5117,5117,5117,5117,5317,5317,5317,5317,5317
