,01.03.2026 21:29:49,01.03.2026 21:34:10,02.03.2026 04:50:48,03.03.2026 04:49:10,04.03.2026 04:42:43,05.03.2026 04:47:02,06.03.2026 04:44:31,07.03.2026 04:23:32,08.03.2026 04:45:27,09.03.2026 04:54:12,10.03.2026 04:44:31,11.03.2026 04:45:31,13.03.2026 04:46:48,14.03.2026 04:44:46,15.03.2026 05:08:21,16.03.2026 05:18:22,17.03.2026 04:54:17,18.03.2026 04:59:03,19.03.2026 04:56:56,20.03.2026 04:49:47,21.03.2026 04:28:31,22.03.2026 04:54:58,22.03.2026 19:01:48,22.03.2026 19:26:44,23.03.2026 05:06:09,24.03.2026 04:56:03,25.03.2026 04:56:31,26.03.2026 05:09:13,27.03.2026 05:09:49,28.03.2026 04:55:16,29.03.2026 05:13:05,30.03.2026 05:28:01,31.03.2026 05:11:37,01.04.2026 05:27:29,02.04.2026 05:05:36,03.04.2026 05:07:09,04.04.2026 04:52:38,05.04.2026 05:14:36,06.04.2026 05:27:17,07.04.2026 05:11:46,08.04.2026 05:13:46,09.04.2026 05:12:08,10.04.2026 05:28:05,11.04.2026 04:58:20
13.03.2026 - 27.03.2026,7133,7133,7433,7289,7216,,,,,,,11341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.03.2026 - 28.03.2026,7226,7226,7526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.03.2026 - 30.03.2026,7147,7147,7147,7147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.03.2026 - 10.04.2026,7697,7697,7697,,,7654,7654,,,,,10336,10357,9306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.03.2026 - 11.04.2026,,,,8130,7966,7966,7876,7876,7876,7876,11790,11518,11518,11369,11369,11369,11369,11369,9384,,9294,9384,9384,9384,9384,,,,,,,,,,,,,,,,,,,
30.03.2026 - 13.04.2026,7976,7976,7976,8057,7984,8065,8155,8565,8565,8565,10407,10407,10407,10007,9306,9306,9535,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.04.2026 - 24.04.2026,9500,9500,9500,9500,9508,9508,,9508,,,,,,10159,10159,10159,10159,10159,10876,10876,10876,,,,,,,,,,,,,,,,,,,,,,,
10.04.2026 - 25.04.2026,9876,9876,9876,9957,9887,9887,9887,9808,9887,9887,9537,9537,9458,9387,9468,9468,9487,9487,9437,9437,9358,9358,9358,9358,9358,9358,9358,9537,,,,,,,,,,,,,,,,
11.04.2026 - 25.04.2026,10077,10077,10077,10158,10086,10086,,,10257,10257,9985,9985,,,,,9985,9985,9985,9985,9985,9985,9985,9985,9985,,,,,,,,,,,,9356,,,,,,,
13.04.2026 - 27.04.2026,9176,9176,9176,9176,9184,9284,,,,,,,,,,,,9885,,,,,,,,,,,,,,,,,,,,,,,,,,
17.04.2026 - 30.04.2026,9037,9037,9037,9037,8874,8784,8874,8874,8874,8874,9268,9268,9416,9324,9324,9324,9155,9268,9268,9183,9183,9104,9104,9104,9104,9104,9104,10552,10642,10642,9982,10642,10642,10642,,,,,,,,,,
18.04.2026 - 02.05.2026,10376,10376,10376,10376,10486,10486,10486,10486,10486,10486,,,,,,,11708,11708,,,,,,,,,,11708,,,,,,,,,,,,,,,,
20.04.2026 - 03.05.2026,8534,8534,8534,8640,8645,8645,8858,8774,8774,8774,8858,8858,8858,9496,9496,9496,9496,9412,9283,9283,9283,9283,9283,9283,9283,9283,9283,9231,9231,9331,9331,9531,9452,9832,,,,,,,,,,
21.04.2026 - 06.05.2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,20118,20278,16743,16714,16714,12939,,,13410,13339,13310,13310,13310,11087,9607,,
24.04.2026 - 07.05.2026,10936,10936,10936,10936,10867,10867,10867,10867,10867,10867,10867,10867,10783,10783,10783,10783,10783,10783,10867,10707,10707,10707,10707,10707,10707,10623,10623,10623,10623,10623,10623,10623,10623,10783,,,,,,,,,,
25.04.2026 - 09.05.2026,10197,10197,10197,10197,10205,10205,10205,10205,10205,10205,10285,10366,10456,10885,10806,10806,10806,10966,,,,,,,,,,,,,,,,,,,,,,,,,,
27.04.2026 - 10.05.2026,9280,9280,9280,9280,9206,9206,9206,9206,9206,9206,9206,9206,9398,10525,10525,10525,10525,9703,10456,10456,10456,10456,10456,10456,10456,10456,10456,10456,10456,10456,10456,10456,,,,,,,,,,,,
01.05.2026 - 14.05.2026,10026,10026,10026,10026,10032,10032,10032,10032,10032,10032,10032,10032,10032,10032,10032,10032,10053,10232,10232,10232,10232,10232,10232,10232,10232,10132,10132,10432,10432,10553,10482,10482,10132,10332,10653,11099,11502,11502,11502,11502,11054,9270,9270,
02.05.2026 - 16.05.2026,11226,11226,11226,11226,11232,11132,11132,11132,11132,11132,11132,11732,11253,10763,10763,10763,10763,10062,10162,10203,10203,10203,10203,10203,10203,9831,10031,10031,10131,10482,10482,10482,10152,,,,,,,,,,,
09.05.2026 - 23.05.2026,11726,11726,11726,11726,11733,11733,11733,11632,11632,11532,11532,12232,11753,11753,11753,11753,11653,10853,10853,10482,10482,10482,10482,10482,10482,10052,9831,9931,9931,10031,10031,10031,9931,10031,,,,,,,10282,10482,10482,
15.05.2026 - 29.05.2026,10626,10626,10626,10626,10632,10632,10632,10632,10632,10632,10632,11132,10732,11432,11432,11432,11432,10031,10031,9931,9931,9931,9931,9931,9931,9631,9331,9431,9431,9431,9431,9431,9331,9431,9731,9631,9931,9931,9931,9931,9931,9931,9931,9431
16.05.2026 - 30.05.2026,10826,10826,10826,10826,10832,10832,10832,10832,10832,10832,10832,11332,11032,11032,11032,11032,11032,11132,11132,10763,10562,10562,10562,10562,10562,9831,9281,9281,9281,9281,9281,9281,9381,9381,9381,9481,9481,9481,9481,9581,9481,9581,9581,9481
22.05.2026 - 05.06.2026,11225,11225,11225,11225,11232,11232,11232,11232,11232,11232,11232,11732,11332,11332,11332,11332,11332,10031,10031,9831,9831,9831,9831,9831,9831,9831,9452,9552,9552,9652,9652,9752,10052,10052,9952,9952,9952,9952,9952,9952,10152,10152,10052,10152
23.05.2026 - 06.06.2026,9357,9357,9357,9357,9362,9362,9362,9362,9362,9362,9362,9862,9462,9462,9462,9562,9562,9662,9562,9562,9562,9562,9562,9562,9562,9562,9562,9562,9562,9562,9562,9562,9562,9562,9562,9562,9562,9562,9562,9562,9562,9562,9662,9662
29.05.2026 - 12.06.2026,9226,9226,9226,9226,9231,9031,9031,9031,9031,9031,9031,9531,9131,9131,9131,9131,9131,9231,9231,9502,9502,9502,9502,9502,9502,9502,9131,9131,9131,9081,9281,9281,9281,9381,9381,9281,9281,9381,9381,9381,9381,9381,9381,9381
30.05.2026 - 13.06.2026,9526,9526,9526,9526,9431,9231,9231,9231,9231,9231,9231,9731,9331,9331,9331,9331,9331,9331,9331,9331,9331,9331,9331,9331,9331,9331,9131,9131,9131,9131,9231,9231,9231,9231,9231,9231,9231,9231,9231,9231,9231,9331,9331,9331
03.06.2026 - 18.06.2026,10526,10526,10526,10526,10536,10536,10536,10536,10536,10536,10536,10936,10635,10635,10635,10635,10635,10635,10635,10635,10635,10635,10635,10635,10635,10635,10635,10635,10635,10635,10635,10635,10635,10635,10635,10635,10635,10635,10635,10635,10635,10635,10635,10635
05.06.2026 - 19.06.2026,9997,9997,9997,9997,10002,10002,10002,10002,10002,10002,10002,10402,10081,10081,10081,10081,10081,10081,10081,10081,10081,10081,10081,10081,10081,10081,10081,10081,10081,10081,10081,10081,10081,10081,10081,10081,10081,10081,10081,10081,10081,10081,10081,10081
06.06.2026 - 20.06.2026,9839,9839,9839,9839,9845,9845,9845,9845,9845,9845,9845,10352,10031,10031,10031,10031,10031,10031,10031,10031,10031,10031,10031,10031,10031,10031,10031,10031,10031,10031,10031,10031,10031,10031,10031,10031,10031,10031,10031,10031,10031,10031,10031,10031
10.06.2026 - 25.06.2026,10726,10726,10726,10726,10735,10735,10735,10735,10735,10735,10735,11235,10835,10835,10835,10835,10835,10835,10835,10835,10835,10835,10835,10835,10835,10835,10835,10835,10835,10835,10835,10835,10835,10835,10835,10835,10835,10835,10835,10835,10835,10835,10835,10835
12.06.2026 - 26.06.2026,9993,9993,9993,9993,9999,9999,9999,9999,9999,9999,9999,10499,10102,10102,10102,10102,10102,10102,10102,10102,10102,10102,10102,10102,10102,10102,10102,10102,10102,10102,10102,10102,10102,10102,10102,10102,10102,10102,10102,10102,10102,10102,10102,10102
13.06.2026 - 27.06.2026,9897,9897,9897,9897,9902,9902,9902,9902,9902,9902,9702,10202,9802,9802,9802,9802,9802,9802,9802,9802,9802,9802,9802,9802,9802,9802,9802,9802,9802,9802,9802,9802,9802,9802,9802,9802,9802,9802,9802,9802,9802,9802,9802,9802
17.06.2026 - 02.07.2026,10666,10666,10666,10666,10674,10674,10674,10674,10674,10674,10674,11174,10784,10784,10784,10784,10784,10784,10784,10784,10784,10784,10784,10784,10784,10784,10784,10784,10784,10784,10784,10784,10784,10784,10784,10784,10784,10784,10784,10784,10784,10784,10784,10784
19.06.2026 - 03.07.2026,10626,10626,10626,10626,10632,10632,10632,10632,10632,10632,10632,11132,10732,10732,10732,10732,10832,10832,10832,10832,10832,10832,10832,10832,10832,10832,10832,10832,10832,10832,10832,11032,11032,11032,11032,11032,11032,11032,11032,11032,11032,11132,11132,11132
20.06.2026 - 04.07.2026,9637,9637,9637,9637,9643,9643,9643,9643,9643,9643,9643,10143,9752,9752,9752,9752,9752,9752,9752,9752,9752,9752,9752,9752,9752,9752,9752,9752,9752,9752,9752,9752,9752,9752,9752,9752,9752,9752,9752,9752,9752,9752,9752,9752
26.06.2026 - 10.07.2026,10597,10597,10597,10597,10602,10602,10602,10602,10602,10602,10602,11102,10702,10702,10702,10702,10702,10702,10702,10702,10702,10702,10702,10702,10702,10802,10802,10802,10802,10702,10702,10702,10702,10702,10702,10702,10702,10702,10702,10702,10702,10702,10702,10702
27.06.2026 - 11.07.2026,10997,10997,10997,10997,11002,11002,11002,11002,11002,11002,11002,11402,11002,11002,11002,11002,11002,11002,11002,11002,11002,11002,11002,11002,11002,11002,11002,11002,11002,11002,11002,11002,11002,11002,11002,11002,11002,11002,11002,11002,11002,11002,11002,11002
01.07.2026 - 16.07.2026,11559,11559,11559,11559,11568,11568,11568,11568,11568,11568,11568,12068,11685,11685,11685,11685,11685,11685,11685,11685,11685,11685,11685,11685,11685,11685,11685,11685,11685,11685,11685,11685,11685,11685,11685,11685,11685,11685,11685,11685,11685,11685,11685,11685
03.07.2026 - 17.07.2026,10797,10797,10797,10797,10802,10802,10802,10802,10802,10802,10802,11302,10902,10902,10902,10902,10902,10902,10902,10902,10902,10902,10902,10902,10902,10902,10902,10902,10902,10902,10902,10902,10902,10902,10902,10902,10902,10902,10902,10902,10902,10902,10902,10902
04.07.2026 - 18.07.2026,10587,10587,10587,10587,10593,10593,10593,10593,10593,10593,10593,11093,10702,10702,10702,10702,10702,10702,10702,10702,10702,10702,10702,10702,10702,10702,10702,10702,10702,10702,10702,10702,10702,10702,10702,10702,10702,10702,10702,10702,10702,10702,10702,10702
08.07.2026 - 23.07.2026,11457,11457,11457,11457,11466,11466,11466,11466,11466,11466,11466,11966,11566,11566,11566,11566,11566,11566,11566,11566,11566,11566,11566,11566,11566,11566,11566,11566,11566,11566,11566,11566,11566,11566,11566,11566,11566,11566,11566,11566,11566,11566,11566,11566
