,22.03.2026 19:02:29,22.03.2026 19:27:10,23.03.2026 05:06:56,24.03.2026 04:56:55,25.03.2026 04:57:12,26.03.2026 05:10:01,27.03.2026 05:10:37,28.03.2026 04:55:57,29.03.2026 05:13:46,30.03.2026 05:28:49,31.03.2026 05:12:20,01.04.2026 05:28:22,02.04.2026 05:06:18,03.04.2026 05:07:53,04.04.2026 04:53:26,05.04.2026 05:15:20,06.04.2026 05:28:00,07.04.2026 05:12:26,08.04.2026 05:14:27,09.04.2026 05:12:49,10.04.2026 05:28:57,11.04.2026 04:59:09,12.04.2026 05:27:05,13.04.2026 05:45:31,14.04.2026 05:27:26,15.04.2026 05:27:45,16.04.2026 05:34:01,17.04.2026 05:31:50,18.04.2026 05:10:00,19.04.2026 05:32:56,20.04.2026 05:45:09,21.04.2026 05:30:28,22.04.2026 05:30:25,23.04.2026 05:33:56,24.04.2026 05:39:02,25.04.2026 05:14:43,26.04.2026 05:43:10,27.04.2026 05:58:34
07.05.2026 - 21.05.2026,11446,11446,11446,10963,10963,10842,11084,11326,11205,11446,11388,11872,11630,11751,11630,11630,11630,,11872,,,11535,11535,11535,11776,11655,15136,,15015,15015,,15136,15136,,,,,
21.05.2026 - 04.06.2026,12006,12006,12006,11366,10675,10675,10796,10614,10614,,10857,11099,10736,10736,10736,10736,10857,11099,11099,11099,11220,11220,11341,11462,11583,11204,14064,,,,,,,,,,,
04.06.2026 - 18.06.2026,11135,11135,11135,11135,11135,11135,11135,11135,11135,11135,11135,11135,11135,11135,11135,11135,11135,11135,11135,11135,11135,11135,11171,11171,11367,11333,11333,11565,11540,11598,11634,12375,12375,12375,12350,12490,12524,12483
18.06.2026 - 02.07.2026,11267,11267,11267,11267,11267,11267,11267,11267,11267,11267,11267,11267,11267,11267,11267,11267,11267,11267,11267,11267,11267,11267,11267,11267,11449,11449,11449,11449,11449,11449,11449,11449,11449,11449,11449,11690,11690,11684
16.07.2026 - 30.07.2026,11773,11773,11773,11773,11773,11773,11773,11773,11773,11773,11773,11773,11773,11773,11773,11773,11773,11773,11773,11773,11773,11773,11773,11891,11891,11891,11773,11773,11773,11773,11773,11773,11773,11773,11773,11773,11773,11767
13.08.2026 - 27.08.2026,11656,11656,11656,11656,11773,11773,11773,11656,11773,11773,11773,11773,11773,11773,11773,11773,11773,11773,11773,11773,11656,11656,11656,11656,11656,11656,11656,11656,11656,11656,11656,11656,11656,11656,11656,11656,11656,11650
27.08.2026 - 10.09.2026,11362,11362,11362,11362,11362,11362,11362,11362,11362,11362,11362,11362,11362,11362,11362,11362,11362,11362,11362,11362,11362,11362,11362,11362,11362,11362,11362,11362,11362,11362,11362,11362,11362,11362,11362,11362,11362,11474
10.09.2026 - 24.09.2026,12007,12007,12007,12007,12007,12007,12007,12007,12007,12007,12007,12007,12007,12257,12257,12257,12257,12257,12257,12257,12257,12257,12257,12257,12257,12257,12257,12257,12257,12257,12257,12257,12257,12257,12257,12257,12257,12251
24.09.2026 - 08.10.2026,11547,11547,11547,11547,11547,12046,12046,12046,12046,12046,11672,11672,11672,11672,11672,11672,11797,11797,11797,11797,11797,11797,11797,11797,11797,12046,12046,12046,12046,12046,12046,12046,12046,12046,12046,12046,12046,12040
08.10.2026 - 22.10.2026,11597,11597,11597,11597,11597,11597,11597,11597,11597,11597,11597,11597,11597,11597,11597,11597,11597,11597,11597,11597,11597,11597,11597,11597,11597,11597,11597,11597,11597,11597,11715,11715,11715,11832,11832,11832,11832,11826
