,01.03.2026 21:29:46,01.03.2026 21:34:07,02.03.2026 04:50:44,03.03.2026 04:49:07,04.03.2026 04:42:40,05.03.2026 04:46:59,06.03.2026 04:44:27,07.03.2026 04:23:28,08.03.2026 04:45:24,09.03.2026 04:54:08,10.03.2026 04:44:28,11.03.2026 04:45:27
12.08.2026 - 27.08.2026,14292,14292,14292,14292,14301,14301,14317,14317,14317,14317,14317,14817
14.08.2026 - 28.08.2026,13473,13473,13473,13473,13479,13479,13479,13479,13479,13479,13479,13979
15.08.2026 - 29.08.2026,13592,13592,13592,13592,13597,13597,13597,13597,13597,13597,13597,14097
19.08.2026 - 03.09.2026,14168,14168,14168,14168,14177,14177,14177,14177,14177,14177,14177,14677
21.08.2026 - 04.09.2026,13080,13080,13080,13080,13085,13085,13085,13085,13085,13085,13085,13585
22.08.2026 - 05.09.2026,13631,13631,13631,13631,13637,13637,13637,13637,13637,13637,13637,14137
26.08.2026 - 10.09.2026,14401,14401,14401,14401,14409,14409,14409,14409,14409,14409,14409,14909
28.08.2026 - 11.09.2026,13298,13298,13298,13298,13304,13304,13304,13304,13304,13304,13304,13804
29.08.2026 - 12.09.2026,13447,13447,13447,13447,13327,13327,13453,13453,13453,13453,13453,13953
02.09.2026 - 17.09.2026,13678,13678,13678,13819,13828,13828,13828,13828,13828,13828,13828,14428
04.09.2026 - 18.09.2026,14619,14619,14619,14619,14626,14626,14626,14626,14626,14626,14626,15226
05.09.2026 - 19.09.2026,13332,13332,13332,13332,13339,13210,13210,13210,13339,13339,13339,13810
09.09.2026 - 24.09.2026,14653,14653,14653,14653,14662,14662,14662,14662,14662,14662,14662,15262
11.09.2026 - 25.09.2026,13048,13048,13048,13048,13183,13183,13183,13054,13054,13054,13054,13654
12.09.2026 - 26.09.2026,13370,13370,13370,13370,13376,13376,13376,13376,13376,13376,13376,13976
16.09.2026 - 01.10.2026,13819,13819,13819,13819,13828,13828,13828,13828,13828,13828,13828,14428
18.09.2026 - 02.10.2026,13140,13140,13140,13140,13146,13146,13146,13146,13146,13146,13274,13874
19.09.2026 - 03.10.2026,14941,14941,14941,14941,14947,14947,14947,14947,14947,14947,14947,15547
23.09.2026 - 08.10.2026,13678,13678,13678,13678,13687,13687,13687,13687,13687,13687,13687,14287
