,22.03.2026 19:02:09,23.03.2026 05:06:34,24.03.2026 04:56:29,25.03.2026 04:56:53,26.03.2026 05:09:38,27.03.2026 05:10:14,28.03.2026 04:55:38,29.03.2026 05:13:27,30.03.2026 05:28:26,31.03.2026 05:12:00,01.04.2026 05:27:56,02.04.2026 05:05:57,03.04.2026 05:07:30,04.04.2026 04:53:03,05.04.2026 05:14:59,06.04.2026 05:27:39,07.04.2026 05:12:07,08.04.2026 05:14:07,09.04.2026 05:12:29,10.04.2026 05:28:32,11.04.2026 04:58:45,12.04.2026 05:26:45,13.04.2026 05:45:07,14.04.2026 05:27:02,15.04.2026 05:27:23,16.04.2026 05:33:42,17.04.2026 05:31:26,18.04.2026 05:09:39,19.04.2026 05:32:30,20.04.2026 05:44:48,21.04.2026 05:30:05,22.04.2026 05:29:48,23.04.2026 05:33:34,24.04.2026 05:38:38,25.04.2026 05:14:21
14.05.2026 - 26.05.2026,16893,16893,16656,16656,16656,16656,16750,16750,16750,16512,16631,16868,,,,,,,,,,17224,17224,,,,,20308,20308,20308,19384,18410,17817,17461,16453
06.08.2026 - 18.08.2026,16706,16706,16825,16825,16825,16825,16825,16825,16825,16825,16825,16825,16825,16825,16825,16825,16825,16825,16825,16825,16825,16825,16825,16825,16825,16825,16825,16825,16825,16825,16825,16825,16825,16825,16825
15.10.2026 - 27.10.2026,16855,16855,16855,16855,16855,16855,16855,16855,16855,16855,16855,16855,16855,16855,16855,16855,16855,16855,16855,16855,16855,16855,16855,16855,16855,16855,16855,16855,16855,16855,16855,16855,16855,16855,16855
29.10.2026 - 10.11.2026,15930,15930,15930,15812,15812,15812,15812,15812,15812,15812,15812,15812,15812,15812,15812,15812,15812,15812,15812,15812,15812,15812,15812,15812,15812,15812,15812,15812,15812,15812,15812,15812,15812,15812,15812
