,27.09.2025 21:07:48,27.09.2025 21:38:39,27.09.2025 22:38:47,27.09.2025 23:17:51,28.09.2025 17:10:09,28.09.2025 18:56:41
30.10 - 10.11,8705,8705,8705,8705,8705,8705
20.11 - 01.12,8048,8048,8048,8048,8072,8072
11.12 - 22.12,8857,8857,8857,8857,8857,8857
01.01 - 12.01,9218,9218,9218,9218,9218,9218
22.01 - 02.02,9730,9730,9730,9730,9730,9730
12.02 - 23.02,9154,9154,9154,9154,9154,9154
05.03 - 16.03,8487,8487,8487,8487,8487,8487
