,01.03.2026 21:28:39,01.03.2026 21:33:00,02.03.2026 04:49:39,03.03.2026 04:48:07,04.03.2026 04:41:41,05.03.2026 04:45:59,06.03.2026 04:43:25,07.03.2026 04:22:29,08.03.2026 04:44:19,09.03.2026 04:53:04,10.03.2026 04:43:24,11.03.2026 04:44:28,13.03.2026 04:45:40,14.03.2026 04:43:42,15.03.2026 05:07:11,16.03.2026 05:17:19,17.03.2026 04:53:07,18.03.2026 04:57:55,19.03.2026 04:55:55,20.03.2026 04:48:34,21.03.2026 04:27:18,22.03.2026 04:53:43,22.03.2026 19:00:45,22.03.2026 19:26:03,23.03.2026 05:04:55,24.03.2026 04:54:50,25.03.2026 04:55:30,26.03.2026 05:08:03,27.03.2026 05:08:40,28.03.2026 04:54:15,29.03.2026 05:12:04,30.03.2026 05:26:50,31.03.2026 05:10:34,01.04.2026 05:26:16,02.04.2026 05:04:35,03.04.2026 05:06:09,04.04.2026 04:51:29,05.04.2026 05:13:33,06.04.2026 05:26:11,07.04.2026 05:10:44,08.04.2026 05:12:45,09.04.2026 05:11:07,10.04.2026 05:26:51,11.04.2026 04:57:11,12.04.2026 05:25:17,13.04.2026 05:43:39,14.04.2026 05:25:26
28.05.2026 - 04.06.2026,3558,3558,3558,3558,3557,3557,3557,3557,3557,3557,3557,3707,3628,3628,3628,3628,3628,3628,3628,3128,3128,3128,3128,3128,3128,3128,2849,2849,2949,2828,2628,2828,2628,2429,2478,2608,2758,2758,2758,2758,2758,3028,3228,3228,3228,3228,3299
28.05.2026 - 11.06.2026,,,,,,,,,,,,,,,,,,,,,4562,4562,4562,4562,4562,,,,,,,,,,,,,,,,,,,,,,
04.06.2026 - 11.06.2026,4362,4362,4362,4362,4360,4360,4360,4360,4360,4360,4360,4460,4399,4399,4399,4399,4399,4399,4449,4449,4449,4449,4449,4449,4449,4449,4099,4099,3428,3428,3428,3428,3428,3428,3428,3428,3178,3178,3178,3178,3178,3178,3178,3178,3178,3178,3128
04.06.2026 - 18.06.2026,5224,5224,5224,5224,5239,5239,5327,5239,5239,5239,5239,5339,5277,5277,,5277,5277,5329,,,,,,,,,,,,,,,,,,,,,,,,,4345,4345,4345,4345,3995
11.06.2026 - 18.06.2026,4001,4001,4001,4001,3999,3999,3999,3999,3999,3999,3999,4099,4028,4028,4028,4028,4028,4028,4028,4028,4028,4028,4028,4028,4028,4028,4028,4028,3749,3749,3749,3749,3749,3749,3749,3749,3749,3749,3749,3749,3749,3749,3749,3749,3749,3749,3099
11.06.2026 - 25.06.2026,4673,4673,4673,4673,4687,4687,4785,4687,4687,4687,4687,4787,4715,4715,4715,4715,4715,4768,4768,4768,4768,4768,4768,4768,4768,4768,4768,4768,4533,4533,,,,,,,,,,,,,4533,4533,4533,4533,4183
18.06.2026 - 25.06.2026,3521,3521,3521,3521,3519,3519,3519,3519,3519,3519,3519,3619,3548,3598,3598,3598,3598,3598,3598,3598,3598,3598,3598,3598,3598,3598,3648,3648,3219,3219,3219,3219,3219,3219,3219,3219,3219,3219,3219,3219,3219,3219,3219,3219,3219,3219,3319
25.06.2026 - 02.07.2026,3244,3244,3244,3244,3243,3243,3243,3243,3243,3243,3299,3399,3328,3328,3328,3328,3328,3328,3328,3328,3328,3328,3328,3328,3328,3328,3328,3328,3199,3199,3199,3199,3199,3199,3199,3199,3199,3199,3199,3199,3199,3199,3199,3199,3199,3199,3150
25.06.2026 - 09.07.2026,4550,4550,4550,4550,4563,4563,4568,4563,4563,4563,4620,4720,4649,4649,4649,4649,4649,4654,4654,4654,4654,4654,4654,4654,4654,4654,4654,4654,4524,4524,4524,4524,4524,4524,4524,4524,4524,4524,4524,4524,4524,4524,4524,4524,4524,4524,4474
02.07.2026 - 09.07.2026,3398,3398,3398,3398,3396,3396,3396,3396,3396,3396,3396,3496,3429,3429,3429,3429,3429,3429,3429,3429,3429,3429,3429,3429,3429,3429,3429,3429,3429,3229,3229,3229,3229,3229,3229,3329,3329,3329,3329,3329,3329,3329,3329,3329,3329,3329,3129
