,22.03.2026 19:02:52,22.03.2026 19:27:26,23.03.2026 05:07:22,24.03.2026 04:57:21,25.03.2026 04:57:34,26.03.2026 05:10:27,27.03.2026 05:11:02,28.03.2026 04:56:20,29.03.2026 05:14:09,30.03.2026 05:29:15,31.03.2026 05:12:44,01.04.2026 05:28:49,02.04.2026 05:06:41,03.04.2026 05:08:16,04.04.2026 04:53:53,05.04.2026 05:15:43,06.04.2026 05:28:23,07.04.2026 05:12:48,08.04.2026 05:14:49,09.04.2026 05:13:11,10.04.2026 05:29:24,11.04.2026 04:59:34,12.04.2026 05:27:28,13.04.2026 05:45:56,14.04.2026 05:27:51,15.04.2026 05:28:10,16.04.2026 05:34:23,17.04.2026 05:32:15,18.04.2026 05:10:24,19.04.2026 05:33:22,20.04.2026 05:45:32,21.04.2026 05:30:51,22.04.2026 05:30:59,23.04.2026 05:34:20,24.04.2026 05:39:27,25.04.2026 05:15:06,26.04.2026 05:43:35,27.04.2026 05:59:00,28.04.2026 06:10:58,29.04.2026 05:58:14,30.04.2026 06:09:35,01.05.2026 06:19:46,02.05.2026 05:40:25,03.05.2026 06:09:03,04.05.2026 06:17:59,05.05.2026 05:47:06,06.05.2026 06:08:55,07.05.2026 06:14:36,08.05.2026 05:34:35,09.05.2026 05:52:24,10.05.2026 06:15:46,11.05.2026 06:45:28,12.05.2026 06:18:24,13.05.2026 06:29:42,14.05.2026 06:28:52,15.05.2026 06:37:30,16.05.2026 05:58:24,17.05.2026 04:30:15,18.05.2026 04:34:56,19.05.2026 04:31:15,20.05.2026 04:33:39,22.05.2026 04:32:50,23.05.2026 04:23:06,24.05.2026 04:34:25,25.05.2026 04:37:29,26.05.2026 04:32:13,27.05.2026 04:36:22,28.05.2026 04:33:58,29.05.2026 04:35:35,30.05.2026 04:27:39,31.05.2026 04:36:26,01.06.2026 04:39:20,02.06.2026 04:36:40,03.06.2026 04:37:52,04.06.2026 04:36:59,05.06.2026 04:36:07,06.06.2026 04:28:56,07.06.2026 04:37:58,08.06.2026 04:37:47,09.06.2026 04:31:26,10.06.2026 04:35:57,11.06.2026 04:37:23,12.06.2026 04:36:46,13.06.2026 04:36:19,14.06.2026 04:37:36,15.06.2026 04:39:36,16.06.2026 04:40:59
10.04.2026 - 25.04.2026,13075,13075,13075,13075,12733,,12733,12733,12733,12733,11937,11710,11710,11754,10394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.04.2026 - 09.05.2026,12497,12497,12497,12497,12152,12152,12119,12119,12119,12119,12095,12447,12353,12237,12122,12122,12146,12146,10988,10988,10294,9252,8886,9310,8442,8128,12493,8765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.05.2026 - 28.05.2026,9525,9525,9525,9525,9172,9172,9172,9172,9172,9172,9172,9030,9030,9761,9677,9677,9677,9677,9761,9761,9761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.05.2026 - 04.06.2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8056,8068,7982,7982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.05.2026 - 04.06.2026,9349,9349,9349,9349,9114,9114,9114,9114,9114,9114,9114,8971,8971,8890,8890,8890,8890,8890,8890,8890,8971,8971,8971,8971,9089,9089,9172,9172,11126,10926,11126,10442,10442,10442,10526,10644,10560,10553,10644,10560,10560,10560,10560,10560,10560,10585,10585,8441,8441,8441,8041,8525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.05.2026 - 11.06.2026,8948,8948,8948,9032,9150,9150,9150,9150,9150,9150,9150,9682,9953,9871,9716,9716,9716,9716,9716,9716,9635,9303,9303,9303,9480,9480,9480,10071,9989,9989,10012,9775,9953,10037,,10108,10108,10101,10037,10037,10037,10037,10037,10037,10037,9564,9564,9480,9480,8678,8371,8771,,8771,8282,8282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.06.2026 - 25.06.2026,8760,8760,8760,8760,8760,8760,8760,8760,8760,8760,8760,8760,8853,8853,8853,8853,8853,8853,8772,8772,8772,8772,8772,8772,8996,8996,9089,9089,9089,9089,9089,9089,9089,9089,9008,9207,9207,9201,9383,9383,9467,9231,9231,9231,9442,9619,9702,9619,9643,9643,9643,9643,9399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.06.2026 - 02.07.2026,8743,8743,8743,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8661,8700,8700,8700,8700,8782,8700,8700,8700,8700,8700,8841,8841,8841,8841,8841,8841,8841,8841,8841,8841,8866,9162,9162,9156,9162,9162,9339,9339,9433,9433,9517,9433,9433,9280,9280,9292,9292,9373,9373,9635,9835,10011,9860,9860,9860,8920,9013,8954,8249,8249,8249,7980,8073,8333,8333,8333,8425,8425,8249,8249,8098,8098,,,,,,,,,,,
25.06.2026 - 09.07.2026,9055,9055,9055,9055,9055,9055,9055,9055,9055,9055,9055,9055,9055,9148,9148,9148,9148,9148,9089,9172,9172,9172,9172,9172,9243,9172,9172,9172,9172,9172,9172,9172,9172,9172,10114,10349,10349,10343,10266,10266,9949,9949,9949,9949,9949,9949,9949,9949,9949,9949,9949,9949,9949,9949,10058,10058,10058,10058,10058,10058,10058,9625,9801,9451,9801,8990,9037,8333,8602,8778,8778,8778,8367,8014,8051,8132,8098,7790,8543,8719,8837,9071,8990,8660,8510,,9225
02.07.2026 - 16.07.2026,9563,9563,9563,9563,9563,9563,9563,9563,9563,9563,9563,9563,9563,9563,9563,9563,9563,9563,9563,9563,9563,9597,9633,9633,9772,9772,9772,9738,9738,9772,9772,9772,9772,9772,9738,10030,10030,10024,10064,10064,10006,10006,10006,10006,10006,10006,10006,10006,10006,10006,10006,10006,10006,10006,10110,10110,10188,10188,10130,10130,10130,9896,10047,9747,10130,10163,10338,9896,9872,9896,9896,,,,,,,,,,,,,,,,
09.07.2026 - 23.07.2026,9480,9480,9480,9480,9480,9480,9480,9480,9480,9480,9480,9480,9480,9480,9480,9480,9480,9480,9656,9738,9738,9738,9738,9738,9738,9656,9597,9597,9597,9597,9597,9680,9680,9680,9680,9680,9855,9849,9855,9889,9889,9972,9972,9972,9972,9972,9889,9889,9889,9972,9972,9972,10147,10147,10252,10199,10199,10363,10363,10363,10363,10130,10246,10155,10629,10629,10746,10746,10666,10666,10666,10666,10666,10782,,,10782,,,,,,,9966,,,9989
16.07.2026 - 30.07.2026,10703,10703,10703,10703,10703,10703,10703,10703,10703,10703,10703,10703,10703,10703,10703,10703,10703,10703,10703,10703,10703,10703,10703,10703,10703,10703,10703,10703,10703,10703,10703,10703,10703,10703,10703,10703,10703,10696,10703,10703,10703,10703,10703,10703,10703,10703,10703,10703,10703,10703,10703,10703,10703,10703,10819,10819,10819,10819,10819,10819,10819,10364,10658,10658,10658,10658,10775,10775,10775,10775,10858,10858,10858,10976,10305,10682,10682,10682,10682,10682,10775,10716,,,,,
23.07.2026 - 06.08.2026,9913,9913,9913,9913,9913,9913,9913,9913,9913,9913,9913,9913,9913,9913,9913,9913,9913,9913,9913,9913,9913,9913,9913,9913,9913,9913,9913,9913,9913,9913,9913,9913,9913,9913,9913,9913,9913,9907,9913,9913,9913,9913,9913,9913,9913,10006,10006,10006,10006,10006,10006,10006,9947,9947,10051,10051,10051,10051,10051,10222,10222,10338,10455,10304,10304,10304,10688,10479,11853,11853,11853,11853,11795,11911,11911,11911,11911,11911,11911,11911,11831,11831,11831,11831,11831,11831,11329
30.07.2026 - 13.08.2026,9972,9972,9972,9972,9972,9972,9972,9972,9972,9972,9972,9972,9972,9972,9972,9972,10064,10064,10064,9983,9983,9983,9983,9983,9983,9983,9983,9983,9983,9983,9983,10147,10147,10147,10147,10147,10147,10141,10147,10147,10147,10147,10147,10147,10181,10181,10181,10181,10181,10181,10181,10181,10181,10181,10287,10287,10287,10287,10287,10287,10287,10396,10513,10513,10513,10513,10629,10629,10629,10629,10629,10629,10629,10746,10396,10396,10479,10479,10479,10479,10829,10666,10596,10596,10688,10688,10770
