,22.03.2026 19:02:26,22.03.2026 19:27:08,23.03.2026 05:06:53,24.03.2026 04:56:51,25.03.2026 04:57:09,26.03.2026 05:09:58,27.03.2026 05:10:33,28.03.2026 04:55:54,29.03.2026 05:13:43,30.03.2026 05:28:46,31.03.2026 05:12:17,01.04.2026 05:28:18,02.04.2026 05:06:15,03.04.2026 05:07:49,04.04.2026 04:53:23,05.04.2026 05:15:16,06.04.2026 05:27:56,07.04.2026 05:12:23,08.04.2026 05:14:23,09.04.2026 05:12:46,10.04.2026 05:28:53,11.04.2026 04:59:05,12.04.2026 05:27:02,13.04.2026 05:45:27
19.08.2026 - 02.09.2026,10203,10203,10203,10203,10203,10203,10203,10203,10203,10203,10203,10203,10203,10203,10203,10203,10203,10203,10203,10203,10203,10203,10203,10203
24.08.2026 - 07.09.2026,10682,10682,10682,10682,10682,10882,10882,10882,10882,10882,10882,10882,10882,10882,10882,10882,10882,10882,10882,10882,11082,11082,11082,11082
26.08.2026 - 09.09.2026,11433,11433,11433,11433,11433,11433,11433,11433,11433,11433,11433,11433,11433,11433,11433,11433,11433,11433,11433,11433,11433,11433,11433,11433
31.08.2026 - 14.09.2026,11583,11583,11583,11583,11583,11583,11583,11783,11783,11783,11583,11583,11583,11583,11583,11583,11583,11583,11583,11583,11583,11583,11583,11583
02.09.2026 - 16.09.2026,11633,11633,11633,11633,11633,11633,11633,11633,11633,11633,11633,11633,11633,11633,11633,11633,11633,11633,11633,11633,11633,11633,11633,11633
14.09.2026 - 28.09.2026,12590,12590,12590,12590,12590,12590,12590,12590,12590,12590,12590,12590,12590,12590,12590,12590,12590,12590,12590,12590,12590,12590,12590,12590
16.09.2026 - 30.09.2026,11103,11103,11103,11103,11103,11103,11103,11103,11103,11103,11303,11303,11203,11203,11203,11203,11203,11203,11203,11203,11303,11303,11403,11403
21.09.2026 - 05.10.2026,11254,11254,11254,11254,11254,11254,11254,11254,11254,11254,11254,11254,,,,,,,,,,,,
23.09.2026 - 07.10.2026,10954,10954,10954,10954,11054,10954,10954,,,,,,,,,,,,,,,,,
28.09.2026 - 12.10.2026,11154,11154,11154,11154,11154,11154,11154,11154,11154,11254,11254,11254,11254,11254,11254,11254,11354,11354,11354,11354,11454,11454,11454,11454
30.09.2026 - 14.10.2026,10553,10553,10553,10553,10553,10553,10553,10553,10553,10553,10553,10553,10553,10653,10653,10653,10653,10653,10653,10653,10653,10653,10653,10653
05.10.2026 - 19.10.2026,11003,11003,11003,11003,11003,11003,11003,11003,11003,11003,11003,11003,11003,11003,11003,11003,11003,11003,11003,11003,11003,11003,11003,11003
07.10.2026 - 21.10.2026,11182,11182,11182,11082,11082,11082,11082,11082,11082,11082,11082,10982,10982,10982,10982,10982,10982,10982,10982,10982,10982,10982,10982,10982
12.10.2026 - 26.10.2026,11283,11283,11283,11283,11283,11283,11283,11283,11283,11283,11283,11283,11283,11283,11283,11283,11283,11283,11283,11283,11283,11283,11283,11283
14.10.2026 - 28.10.2026,10803,10803,10803,10803,10803,10803,10803,10803,10803,10803,10803,10803,10803,10803,10803,10803,10803,10803,10803,10803,10803,10803,10803,10803
19.10.2026 - 02.11.2026,10282,10282,10282,10282,10282,10282,10282,10282,10282,10282,10282,10282,10282,10282,10282,10282,10282,10282,10282,10282,10282,10282,10282,10282
21.10.2026 - 04.11.2026,10133,10133,10133,10133,10133,10133,10133,10133,10133,10133,10133,10133,10133,10133,10133,10133,10133,10133,10133,10233,10233,10233,10233,10233
26.10.2026 - 09.11.2026,9404,9364,9404,9404,9504,9504,9483,9404,9464,9464,9464,9464,9554,9533,9533,9533,9533,9533,9583,9583,9583,9604,9604,9604
28.10.2026 - 11.11.2026,9282,9282,9282,9282,9282,9282,9282,9282,9282,9282,9282,9282,9282,9282,9282,9282,9282,9282,9282,9282,9282,9682,9382,9382
02.11.2026 - 16.11.2026,8232,8132,8232,8153,8153,8153,8153,8153,8153,8153,8153,8153,8332,8332,8332,8332,8332,8332,8253,8253,8253,8432,8282,8282
04.11.2026 - 18.11.2026,7932,7932,7932,7853,8032,8032,8032,7953,8032,8032,8132,8132,8332,8503,8503,8503,8503,8503,8503,8503,8503,8432,8432,8432
09.11.2026 - 23.11.2026,7932,7932,7932,7932,7932,7932,7932,7932,8032,8032,8132,8132,8132,8132,8132,8132,8132,8132,8132,8132,8132,8382,8232,8232
11.11.2026 - 25.11.2026,8032,8032,8032,8032,8032,8032,8032,8032,8032,8032,8132,8232,8232,8232,8153,8082,8082,8082,8082,8082,8163,8163,8163,8163
16.11.2026 - 30.11.2026,7863,7863,7863,7863,7863,7882,7882,7963,7963,7963,7882,8053,8053,7982,7903,7903,7903,7903,7832,7932,8032,8032,8132,8132
18.11.2026 - 02.12.2026,7863,7863,7863,7863,7863,7882,7882,7882,7882,7882,7963,7963,7903,7903,7903,7832,7832,7853,7853,7853,7932,7932,8132,8132
08.03.2027 - 22.03.2027,7902,7902,7902,7902,7902,7902,7902,8063,8063,8063,8063,8063,8063,8063,8063,8063,8063,8063,8063,8063,8063,8063,8063,8063
10.03.2027 - 24.03.2027,7902,7902,7902,7902,7902,7902,7902,7902,7981,7981,7981,7981,7981,7902,7981,7981,7981,7981,7981,7981,7981,7981,7981,8063
15.03.2027 - 29.03.2027,7902,7902,7902,7902,7902,7902,7902,7902,7902,7902,7902,7902,7902,7902,7902,7902,7902,7902,7902,7902,7902,7902,7902,7981
17.03.2027 - 31.03.2027,7981,7981,7981,7981,7981,7981,7981,7981,7981,7981,7981,7981,7981,7981,7981,7981,7981,7981,7981,7981,7981,7981,7981,7981
22.03.2027 - 05.04.2027,8033,8033,8033,8033,8033,8033,8033,8033,8033,8033,8033,8033,8033,8033,8033,8033,8033,8033,8033,8033,8033,8033,8033,8033
24.03.2027 - 07.04.2027,7932,7932,7932,7932,7932,7932,7932,8032,8032,8032,8032,8032,8132,8053,8053,8053,8053,8053,8053,8053,8053,8053,8053,8053
29.03.2027 - 12.04.2027,7963,7963,7963,7963,7963,7963,7963,7963,7963,7963,7963,7963,7963,7963,7963,7963,7963,7963,8053,8053,8053,8053,8132,8132
31.03.2027 - 14.04.2027,7903,7903,7903,7982,7982,7982,7982,7903,7903,7903,7903,7903,7982,7982,7982,7982,7982,7982,8153,8403,8403,8332,8332,8332
05.04.2027 - 19.04.2027,7982,7982,7982,7982,8063,8063,8063,8063,8063,8063,8063,8063,8163,8253,8253,8253,8253,8253,8332,8332,8332,9054,9054,
07.04.2027 - 21.04.2027,8053,8053,8053,8053,8053,8053,8053,8053,8232,8232,8153,8153,8232,8153,8232,8232,8232,8232,8153,8232,8332,8332,8332,8332
12.04.2027 - 26.04.2027,8382,8382,8463,8463,8463,8804,8804,8804,8804,8964,8564,8564,8483,8483,8483,8483,8483,8483,8483,8483,8483,8483,8483,8483
14.04.2027 - 28.04.2027,8282,8282,8282,8282,8363,8363,8363,8382,8382,8382,8382,8382,8382,8382,8382,8382,8382,8382,8463,8463,8554,8554,8554,8554
19.04.2027 - 03.05.2027,8332,8332,8332,8332,8353,8353,8353,8353,8353,8353,8353,8353,8353,8353,8453,8453,8453,8533,8554,9033,9133,9154,9233,9233
21.04.2027 - 05.05.2027,8453,8453,8453,8453,8453,8453,8453,8453,8533,8533,8533,8533,8633,8554,8554,8554,8554,8554,8554,8554,8554,8733,8733,8733
26.04.2027 - 10.05.2027,8353,8353,8353,8432,8554,8554,8554,8554,8554,8554,8554,8554,8554,8554,8554,8554,8554,8554,8554,8554,8554,8733,8733,8733
28.04.2027 - 12.05.2027,8604,8604,8604,8604,8604,8604,8604,8604,8604,8604,8764,8764,8764,8764,8854,8854,8854,8854,8854,8854,8854,8854,8854,8854
