,01.03.2026 21:28:27,01.03.2026 21:32:48,02.03.2026 04:49:27,03.03.2026 04:47:56,04.03.2026 04:41:30,05.03.2026 04:45:48,06.03.2026 04:43:13,07.03.2026 04:22:18,08.03.2026 04:44:08,09.03.2026 04:52:52,10.03.2026 04:43:12,11.03.2026 04:44:17,13.03.2026 04:45:28,14.03.2026 04:43:31,15.03.2026 05:07:00,16.03.2026 05:17:08,17.03.2026 04:52:55,18.03.2026 04:57:44,19.03.2026 04:55:44,20.03.2026 04:48:22,21.03.2026 04:27:06,22.03.2026 04:53:30,22.03.2026 19:00:34,22.03.2026 19:25:55,23.03.2026 05:04:43,24.03.2026 04:54:37,25.03.2026 04:55:19,26.03.2026 05:07:52,27.03.2026 05:08:29,28.03.2026 04:54:04,29.03.2026 05:11:53,30.03.2026 05:26:39,31.03.2026 05:10:23,01.04.2026 05:26:04,02.04.2026 05:04:23,03.04.2026 05:05:58,04.04.2026 04:51:18,05.04.2026 05:13:22,06.04.2026 05:26:00,07.04.2026 05:10:33,08.04.2026 05:12:34,09.04.2026 05:10:56,10.04.2026 05:26:39,11.04.2026 04:57:00,12.04.2026 05:25:07,13.04.2026 05:43:27,14.04.2026 05:25:14,15.04.2026 05:25:39,16.04.2026 05:32:06
07.05.2026 - 21.05.2026,,,,,,,,,,,,,,,,,,,,,4745,4690,4690,4690,4690,4745,4713,4713,4713,,,,,,,,,,,,,,,,,,,,
14.05.2026 - 21.05.2026,3724,3724,3724,3724,3723,3723,3723,3723,3723,3723,3723,3873,3760,3760,3760,3760,3760,3760,3760,3660,3660,3660,3660,3660,3660,3442,3715,3715,3715,3597,3397,3597,3597,3379,3379,3488,3542,3542,3542,3542,3542,3542,3542,3542,3542,3542,3737,3737,3737
14.05.2026 - 28.05.2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4601,4601,4601,4601,4797,4797,4797
21.05.2026 - 28.05.2026,3940,3940,3940,3940,3938,3938,3938,3938,3938,3938,3938,4088,3914,3914,3914,3914,3914,3805,3805,3505,3505,3505,3505,3505,3505,3287,3209,3209,3209,3209,3009,3209,3046,2828,2828,2664,2664,2664,2664,2664,2919,3246,3446,3555,3555,3555,3632,3687,3632
21.05.2026 - 04.06.2026,,,,,,,,,,,,,,,,,,,,,4519,4519,4519,4519,4519,4300,4222,4222,4222,4222,4022,4222,,,,,,,,,,,,,,,,,
28.05.2026 - 04.06.2026,3890,3890,3890,3890,3888,3888,3888,3888,3888,3888,3888,4038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.06.2026 - 11.06.2026,4704,4704,4704,4704,4703,4703,4703,4703,4703,4703,4703,4803,4735,4735,4735,4735,4735,4735,4790,4790,4790,4790,4790,4790,4790,4790,4440,4440,3709,3709,3709,3709,3709,3709,3709,3709,3450,3450,3450,3450,3450,3450,3450,3450,3450,3450,3396,3396,3396
04.06.2026 - 18.06.2026,6275,6275,6275,6275,6289,6289,6121,5908,5908,5908,5908,6008,5941,5941,5941,5941,5941,6012,6066,6066,6066,6066,6066,6066,6066,6066,5916,5916,5327,5327,5327,5327,5327,5327,5327,5327,5068,5068,5068,5068,5068,5068,5068,5068,5068,5068,4883,4883,4883
11.06.2026 - 18.06.2026,4314,4314,4314,4314,4312,4312,4312,4312,4312,4312,4312,4412,4335,4335,4335,4335,4335,4335,4335,4335,4335,4335,4335,4335,4335,4335,4335,4335,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,3376,3376,3376
11.06.2026 - 25.06.2026,5287,5287,5287,5287,5301,5301,5301,5301,5301,5301,5301,5401,5323,5323,5323,5323,5323,5323,5323,5323,5323,5323,5323,5323,5323,5323,5323,5323,5017,5017,,,,,,,,,,,,,5017,5017,5017,5017,4663,4663,4663
18.06.2026 - 25.06.2026,3838,3838,3838,3838,3836,3836,3836,3836,3836,3836,3836,3936,3859,3913,3913,3913,3913,3913,3913,3913,3913,3913,3913,3913,3913,3913,3968,3968,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3609,3609,3609
25.06.2026 - 02.07.2026,3539,3539,3539,3539,3537,3537,3537,3537,3537,3537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.06.2026 - 09.07.2026,5167,5167,5167,5167,5180,5180,5180,5180,5180,5180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.07.2026 - 09.07.2026,3700,3700,3700,3700,3698,3698,3698,3698,,,3698,3798,3725,3725,3725,3725,3725,3725,3725,3725,3725,3725,3725,3725,3725,3725,3725,3725,3725,3508,3508,3508,3508,3508,3508,3616,3616,3616,3616,3616,3616,3616,3616,3616,3616,3616,3399,3399,3399
02.07.2026 - 16.07.2026,5229,5229,5229,5229,5242,5242,5242,5242,,,5242,5342,5268,5268,5268,5268,5268,5268,5268,5268,5268,5268,5268,5268,5268,5268,5268,5268,5268,5049,5049,5049,5049,5049,5049,5159,5159,5159,5159,5159,5159,5159,5159,5159,5159,5159,4940,4940,5258
09.07.2026 - 16.07.2026,3815,3815,3815,3815,3814,3814,3814,3814,3814,3814,3814,3914,3837,3837,3837,3837,3837,3837,3837,3837,3837,3837,3837,3837,3837,3837,3837,3837,3837,3837,3837,3837,3837,3837,3837,3945,3945,3945,3945,3945,3945,3945,3945,3945,3945,3945,3945,4000,4000
09.07.2026 - 23.07.2026,5422,5422,5422,5422,5435,5435,5506,5435,5435,5435,5435,5535,5458,5458,5458,5458,5458,5529,5529,5529,5529,5529,5529,5529,5529,5529,5529,5529,5529,5529,5529,5529,5529,5741,5741,5850,5850,5850,5850,5850,5850,5850,5850,5850,5850,5850,5850,5905,5905
16.07.2026 - 23.07.2026,3723,3723,3723,3723,3721,3804,3804,3804,3804,3804,3804,3904,3818,3818,3818,3818,3873,3873,3873,3873,3873,3873,3873,3873,3873,3873,3873,3873,3873,3873,3873,3873,3873,3873,3873,3981,3981,3981,3981,3981,3981,3981,3981,3981,3981,3981,3981,3981,3981
23.07.2026 - 30.07.2026,,,,,,,,,,,3754,3854,3768,3768,3768,3768,3768,3768,3768,3768,3768,3768,3768,3768,3768,3768,3768,3768,3768,3768,3768,3768,3768,3768,3768,3877,3877,3877,3877,3877,3877,3877,3877,3877,3877,3877,3931,3931,3931
30.07.2026 - 06.08.2026,4011,4011,4011,4011,4009,4009,4009,4009,4009,4009,4009,4109,4040,4040,4040,4040,4040,4040,4040,4094,4094,4094,4094,4094,4094,4094,4094,4094,4094,4203,4203,4203,4203,4203,4203,4421,4421,4421,4421,4421,4421,4421,4421,4421,4475,4475,4530,4530,4530
30.07.2026 - 13.08.2026,5617,5617,5617,5617,5632,5632,5900,5632,5632,5632,5632,5732,5663,5663,5663,5663,5663,5757,5757,,,,,,,5812,5812,5812,5986,6095,6095,6095,6095,6095,6095,6313,6313,6313,6313,6313,6313,6313,6313,6313,6368,6368,6422,6422,6422
13.08.2026 - 20.08.2026,3616,3616,3616,3616,3615,3615,3615,3615,3615,3615,3615,3715,3637,3637,3637,3637,3637,3637,3637,3637,3637,3637,3637,3637,3637,3637,3637,3637,3637,3637,3637,3637,3637,3637,3637,,,,,,,,,,,,,,
13.08.2026 - 27.08.2026,,,,5166,5179,5179,5452,5179,5179,5179,5179,5279,5200,5200,5200,5200,5200,5291,5291,5291,5291,5291,5291,5291,5291,5291,5291,5291,5474,5474,5474,5474,5474,5474,5474,,,,,,,,,,,,,,
27.08.2026 - 03.09.2026,3757,3757,3757,3757,3756,3756,3756,3756,3812,3812,3812,3912,3826,3826,3826,3826,3826,3826,3826,3826,3826,3826,3826,3826,3826,3826,3826,3826,3826,3826,3826,3826,3826,3826,3826,3826,3826,3826,3826,3826,3826,3826,3826,3826,3826,3826,3826,3826,3826
27.08.2026 - 10.09.2026,4962,4962,4962,4962,4976,4976,5106,4976,5032,5032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5259
03.09.2026 - 10.09.2026,3931,3931,3931,3931,3929,3929,3929,3929,3929,3929,3929,4129,3966,3966,3966,3966,3966,3966,3966,3966,3966,3966,3966,3966,3966,3966,3966,3966,3966,4025,4025,4025,4025,4025,4025,4025,4025,4025,4025,4025,4025,4025,4025,4025,4025,4025,4025,4025,4025
17.09.2026 - 24.09.2026,4074,4074,4074,4074,4073,4073,4073,4073,4073,4073,4073,4273,4128,4128,4128,4128,4128,4128,4128,4128,4128,4128,4128,4128,4128,4128,4128,4128,4128,4128,4128,4128,4128,4128,4128,4128,4128,4128,4128,4128,4128,4128,4128,4128,4128,4128,4128,4128,4128
24.09.2026 - 01.10.2026,4007,4007,4007,4007,4006,4006,4006,4078,4078,4078,4078,4278,4115,4115,4115,4115,4115,4115,4115,4115,4115,4115,4115,4115,4115,4115,4115,4115,4115,4224,4224,4224,4224,4224,4224,4224,4224,4224,4224,4224,4224,4224,4224,4224,4224,4224,4224,4224,4224
01.10.2026 - 08.10.2026,3394,3394,3394,3394,3393,3393,3393,3393,3393,3393,3393,3643,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3485,3485,3485,3485,3485,3485,3485,3485,3485,3485,3485,3485,3485,3485,3485,3539,3539,3539
08.10.2026 - 15.10.2026,3448,3448,3448,3448,3447,3447,3447,3447,3447,3447,3447,3697,3479,3579,3579,3579,3579,3579,3579,3579,3579,3579,3579,3579,3579,3579,3579,3579,3579,3361,3361,3361,3361,3361,3361,3361,3361,3361,3361,3361,3361,3361,3361,3361,3361,3361,3415,3415,3415
15.10.2026 - 22.10.2026,3272,3272,3272,3272,3270,3270,3270,3270,3270,3270,3270,3520,3302,3357,3357,3357,3357,3357,3357,3357,3357,3357,3357,3357,3357,3357,3357,3357,3357,3138,3138,3138,3138,3138,3138,3138,3138,3138,3138,3138,3138,3138,3138,3138,3138,3138,3193,3193,3193
22.10.2026 - 29.10.2026,3400,3400,3400,3400,3398,3398,3398,3398,3398,3398,3398,3648,3434,3434,3434,3434,3434,3434,3434,3434,3434,3434,3434,3434,3434,3434,3434,3434,3434,3216,3216,3216,3216,3216,3216,3216,3216,3216,3216,3216,3216,3216,3216,3216,3216,3216,3107,3107,3107
22.10.2026 - 05.11.2026,4435,4435,4435,4435,4448,4448,4448,4448,4448,4448,4448,4698,4488,4488,4488,4488,4488,4488,4488,4488,4488,4488,4488,4488,4488,4488,4488,4488,4488,4275,4275,4275,4275,4275,4275,4275,4275,4275,4275,4275,4275,4275,4275,4275,4275,4275,4168,4168,4168
