,22.03.2026 19:03:00,23.03.2026 05:07:30,24.03.2026 04:57:30,25.03.2026 04:57:41,26.03.2026 05:10:35,27.03.2026 05:11:10,28.03.2026 04:56:28,29.03.2026 05:14:15,30.03.2026 05:29:23,31.03.2026 05:12:51,01.04.2026 05:28:58,02.04.2026 05:06:48,03.04.2026 05:08:23,04.04.2026 04:54:02,05.04.2026 05:15:50,06.04.2026 05:28:30,07.04.2026 05:12:55,08.04.2026 05:14:55,09.04.2026 05:13:17,10.04.2026 05:29:33,11.04.2026 04:59:43,12.04.2026 05:27:36,13.04.2026 05:46:03,14.04.2026 05:27:59,15.04.2026 05:28:18,16.04.2026 05:34:30,17.04.2026 05:32:24,18.04.2026 05:10:32,19.04.2026 05:33:31,20.04.2026 05:45:40,21.04.2026 05:30:58,22.04.2026 05:31:16,23.04.2026 05:34:27,24.04.2026 05:39:36,25.04.2026 05:15:12,26.04.2026 05:43:43
04.11.2026 - 19.11.2026,12987,12987,12487,12602,12602,12602,12602,12602,12602,12602,12602,12602,12602,12602,12602,12602,12602,12602,12602,12602,12602,12602,12602,12602,12602,12602,12602,12602,12602,12602,12602,12602,12602,12602,12602,12602
11.11.2026 - 26.11.2026,12969,12969,12469,12469,12469,12469,12469,12469,12469,12469,12584,12584,12584,12584,12584,12584,12584,12584,12584,12584,12584,12584,12584,12584,12699,12699,12699,12699,12699,12699,12699,12699,12699,12699,12699,12699
18.11.2026 - 03.12.2026,12656,12656,12656,12656,12656,12656,12656,12656,12656,12656,12656,12656,12656,12656,12656,12656,12656,12656,12656,12656,12656,12656,12656,12656,12656,12656,12656,12656,12656,12656,12656,12656,12656,12656,12656,12656
25.11.2026 - 10.12.2026,13002,13002,13117,13117,13117,13117,13117,13117,13117,13117,13117,13117,13117,13117,13117,13117,13117,13117,13117,13117,13117,13117,13117,13117,13117,13117,13117,13117,13117,13117,13117,13117,13117,13117,13117,13117
02.12.2026 - 17.12.2026,12972,12972,13087,13087,13087,13087,13087,13087,13087,13087,13087,13087,13087,13087,13087,13087,13087,13087,13087,13087,13087,13087,13087,13087,13087,13087,13087,13087,13087,13087,13087,13087,13087,13087,13202,13202
09.12.2026 - 24.12.2026,12802,12802,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302
16.12.2026 - 31.12.2026,14252,14252,13752,13752,13870,13870,13870,13870,13870,13870,13870,13870,13870,13870,13870,13870,13870,13870,13870,13870,13870,13870,13870,13870,13870,13870,13870,13870,13870,13870,13870,13870,13870,13870,13870,13870
23.12.2026 - 07.01.2027,17330,17330,17330,17330,17330,17330,17330,17330,17330,17330,17330,17450,17450,17450,17450,17450,17450,17450,17450,17450,17450,17450,17450,17450,17450,17450,17450,17450,17450,17450,17450,17450,17450,17450,17450,17450
30.12.2026 - 14.01.2027,15875,15875,15875,15875,15875,15875,15875,15875,15875,15875,15875,15875,15875,15875,15875,15875,15875,15875,15875,15875,15875,15875,15875,15875,15875,15875,15875,15875,15875,15875,15875,15875,15875,15875,15875,15992
06.01.2027 - 21.01.2027,14774,14774,14774,14774,14774,14774,14774,14774,14774,14774,14774,14774,14774,14774,14774,14774,14774,14774,14774,14774,14774,14774,14774,14774,14774,14774,14774,14774,14774,14774,14774,14774,14774,14774,14774,14774
13.01.2027 - 28.01.2027,15215,15215,15215,15215,15215,15215,15215,15215,15215,15215,15215,15215,15215,15215,15215,15215,15215,15215,15615,15615,15615,15615,15615,15615,15615,15615,15615,15615,15615,15615,15615,15615,15615,15615,15615,15615
20.01.2027 - 04.02.2027,14751,14751,14751,14751,14751,14751,14751,14751,14751,14751,14751,14751,14751,14751,14751,14751,14751,14751,14751,14751,14751,14751,14751,14751,14751,14751,14751,14751,14751,14751,14751,14751,14751,14865,14865,14865
27.01.2027 - 11.02.2027,15645,15645,15645,15645,15645,15645,15645,15645,15645,15645,15645,15645,15645,15645,15645,15645,15645,15645,15645,15645,15645,15645,15645,15645,15645,15645,15645,15645,15645,15645,15845,15845,15845,15845,15845,15845
03.02.2027 - 18.02.2027,16571,16571,16571,16571,16571,16571,16571,16571,16571,16571,16571,16571,16571,16571,16571,16571,16571,16571,16571,16571,16571,16571,16571,16690,16690,16690,16690,16690,16690,16690,16890,16890,16890,16890,16890,16890
10.02.2027 - 25.02.2027,15394,15394,15394,15394,15394,15394,15394,15394,15394,15394,15394,15394,15394,15394,15394,15394,15394,15394,15394,15394,15394,15394,15394,15394,15394,15394,15394,15394,15394,15394,15394,15394,15394,15394,15394,15394
17.02.2027 - 04.03.2027,14982,14982,14982,14982,14982,14982,14982,14982,14982,14982,14982,14982,14982,14982,14982,14982,14982,14982,14982,14982,14982,14982,14982,14982,14982,14982,14982,14982,14982,14982,14982,14982,14982,14982,14982,14982
24.02.2027 - 11.03.2027,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14682,14797,14797,14797,14797,14912,14912,14912,14912,14912,14912,14912,14912,14912,14912,14912,14912,14912
03.03.2027 - 18.03.2027,14113,14113,14113,14113,14113,14228,14228,14228,14228,14228,14228,14228,14228,14228,14228,14228,14228,14228,14228,14228,14228,14228,14228,14228,14228,14228,14228,14228,14228,14228,14228,14343,14343,14593,14593,14593
10.03.2027 - 25.03.2027,14296,14296,14296,14296,14296,14296,14296,14296,14296,14296,14296,14296,14296,14296,14296,14296,14296,14411,14411,14411,14411,14411,14411,14411,14528,14528,14528,14528,14528,14528,14528,14528,14528,14528,14528,14528
