,01.03.2026 21:29:46,01.03.2026 21:34:07,02.03.2026 04:50:44,03.03.2026 04:49:07,04.03.2026 04:42:40,05.03.2026 04:46:59,06.03.2026 04:44:27,07.03.2026 04:23:28,08.03.2026 04:45:24,09.03.2026 04:54:08,10.03.2026 04:44:28,11.03.2026 04:45:27,13.03.2026 04:46:44,14.03.2026 04:44:42,15.03.2026 05:08:18,16.03.2026 05:18:19,17.03.2026 04:54:14,18.03.2026 04:58:59,19.03.2026 04:56:53,20.03.2026 04:49:44,21.03.2026 04:28:27,22.03.2026 04:54:55,22.03.2026 19:01:45,22.03.2026 19:26:42,23.03.2026 05:06:05,24.03.2026 04:55:59,25.03.2026 04:56:28,26.03.2026 05:09:09,27.03.2026 05:09:45,28.03.2026 04:55:13,29.03.2026 05:13:02,30.03.2026 05:27:57,31.03.2026 05:11:34,01.04.2026 05:27:26,02.04.2026 05:05:33,03.04.2026 05:07:06,04.04.2026 04:52:35,05.04.2026 05:14:33,06.04.2026 05:27:14,07.04.2026 05:11:43,08.04.2026 05:13:43,09.04.2026 05:12:05,10.04.2026 05:28:01,11.04.2026 04:58:17,12.04.2026 05:26:17,13.04.2026 05:44:40,14.04.2026 05:26:33,15.04.2026 05:26:55
20.03.2026 - 03.04.2026,9698,9698,9998,9998,10145,10424,,10913,10803,10803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.07.2026 - 21.07.2026,14485,14485,14485,14485,14493,14493,14493,14493,14493,14493,14493,14993,14519,14519,14519,14519,14519,14519,14519,14519,14519,14519,14519,14519,14519,14519,14519,14519,14519,14519,14519,14519,14519,14519,14519,14519,14519,14519,14519,14519,14519,14519,14519,14519,14519,14519,14519,14519
03.08.2026 - 18.08.2026,14613,14613,14613,14613,14622,14622,14622,14622,14622,14622,14622,15122,14646,14646,14646,14646,14646,14646,14646,14646,14646,14646,14646,14646,14646,14646,14646,14646,14646,14646,14646,14646,14646,14646,14646,14646,14646,14646,14646,14646,14646,14646,14646,14646,14646,14646,14646,14646
17.08.2026 - 01.09.2026,14419,14419,14419,14419,14427,14427,14427,14427,14427,14427,14427,14927,14419,14419,14419,14419,14419,14419,14419,14419,14419,14419,14419,14419,14419,14419,14419,14419,14419,14419,14419,14419,14419,14419,14419,14419,14419,14419,14419,14419,,,,,,,,
31.08.2026 - 15.09.2026,14189,14189,14189,14189,14198,14198,14198,14198,14198,14198,14198,14698,14201,14201,14201,14201,14201,14201,14201,14201,14201,14201,14201,14201,14201,14201,14201,14201,14201,14201,14201,14201,14201,14201,14201,14201,14201,14201,14201,14201,,,,,,,,
14.09.2026 - 29.09.2026,14218,14218,14218,14218,14227,14227,14227,14227,14227,14227,14227,14827,14228,14228,14228,14228,14228,14228,14228,14228,14228,14228,14228,14228,14228,14228,14228,14228,14228,14228,14228,14228,14228,14228,14228,14228,14228,14228,14228,14228,14228,14228,14228,14228,14228,14228,14228,14228
28.09.2026 - 13.10.2026,14320,14320,14320,14320,14329,14329,14329,14329,14329,14329,14329,14929,14328,14328,14328,14328,14328,14328,14328,14328,14328,14328,14328,14328,14328,14328,14328,14328,14328,14328,14328,14328,14328,14328,14328,14328,14328,14328,14328,14328,14328,14328,14328,14328,14328,14328,14328,14328
12.10.2026 - 27.10.2026,14098,14098,14098,14098,14106,14106,14106,14106,14106,14106,14106,14606,14101,14101,14101,14101,14101,14101,14101,14101,14101,14101,14101,14101,14101,14101,14101,14101,14101,14101,14101,14101,14101,14101,14101,14101,14101,14101,14101,14101,12286,12286,12286,12286,12286,12286,12286,12286
