,28.09.2025 20:01:46,28.09.2025 21:46:43,29.09.2025 03:43:58,30.09.2025 03:37:37,01.10.2025 03:47:15,02.10.2025 03:35:43,04.10.2025 03:32:15
30.10.2025 - 10.11.2025,7172,7172,7172,7651,7651,7251,6829
20.11.2025 - 01.12.2025,6822,6822,6822,6822,6822,6330,6480
11.12.2025 - 22.12.2025,7242,7242,7242,7251,7251,6530,6751
01.01.2026 - 12.01.2026,7972,7972,7972,7741,7741,7701,7701
22.01.2026 - 02.02.2026,8223,8223,8333,8333,8333,7962,7902
12.02.2026 - 23.02.2026,7683,7683,7683,7683,7723,7723,7723
05.03.2026 - 16.03.2026,7052,7052,7052,7052,7072,7072,7072
