,22.03.2026 19:01:56,22.03.2026 19:26:50,23.03.2026 05:06:18,24.03.2026 04:56:12,25.03.2026 04:56:40,26.03.2026 05:09:22,27.03.2026 05:09:58,28.03.2026 04:55:24,29.03.2026 05:13:13,30.03.2026 05:28:11,31.03.2026 05:11:46,01.04.2026 05:27:39,02.04.2026 05:05:44,03.04.2026 05:07:17,04.04.2026 04:52:47,05.04.2026 05:14:45,06.04.2026 05:27:26,07.04.2026 05:11:53,08.04.2026 05:13:54,09.04.2026 05:12:16,10.04.2026 05:28:15,11.04.2026 04:58:30,12.04.2026 05:26:28
08.04.2026 - 19.04.2026,12550,12550,12550,12550,,,,,,,,,,,,,,,,,,,
14.04.2026 - 25.04.2026,12945,12945,12945,12945,,,,,,,,,,,,,,,,,,,
22.04.2026 - 03.05.2026,14311,14311,14311,14311,14700,14522,14618,14522,14429,14429,14429,14522,,,,,,,,,,,
26.04.2026 - 08.05.2026,15386,15386,15386,15386,15386,15386,15386,15386,15386,15386,15386,15386,,,,,,,,,,,
29.04.2026 - 10.05.2026,14019,14019,14019,14019,14137,14137,14137,14043,14043,14137,14043,14137,,,,,,,,,,,
03.05.2026 - 14.05.2026,,,,14321,,14234,,,,,,,,,,,,,,,,,
06.05.2026 - 17.05.2026,14045,14045,14045,14045,14079,14079,14079,14045,14045,14045,14045,14045,14045,14045,14045,14045,14045,14045,14045,14045,,,
10.05.2026 - 22.05.2026,15352,15352,15352,15352,15352,15352,15352,15352,15352,15352,15352,15352,15352,15352,15352,15352,15352,15352,15352,15352,15352,15352,15352
13.05.2026 - 24.05.2026,13459,13459,13459,13554,13913,14033,13938,13674,13674,13674,13614,13614,13614,13614,13614,13614,13614,13614,13614,13711,13711,13711,13711
17.05.2026 - 28.05.2026,14466,14466,14466,13854,,,,14382,14283,14283,14283,14283,,,14650,14650,14650,14650,14650,14650,14650,14650,14650
20.05.2026 - 31.05.2026,13655,13655,13655,13655,13655,13655,13655,13655,13655,13655,13655,13655,13655,13655,13655,13655,13655,13655,13655,13655,13655,13655,13655
24.05.2026 - 05.06.2026,16059,16059,16059,16059,16059,16059,16059,15974,15974,15974,15974,15974,15974,15974,15974,15974,15974,15974,15974,15974,15974,15974,15974
27.05.2026 - 07.06.2026,13954,13954,13954,13859,13859,13859,13954,13678,13678,13678,13678,13773,13871,13678,13678,13678,13678,13678,13678,13871,13871,13871,13498
31.05.2026 - 11.06.2026,13248,13248,13248,13248,13371,13371,13371,13371,13371,13371,13274,13274,,,,,,,,,13397,13397,13397
03.06.2026 - 14.06.2026,13497,13497,13497,13497,13497,13497,13497,13497,13497,13497,13497,13497,13497,13497,13497,13497,13497,13497,13497,13497,13497,13497,13497
07.06.2026 - 18.06.2026,13240,13240,13240,13240,13240,13240,13337,13436,13436,13436,13436,13436,,13547,,,,,,13547,13547,13547,13547
10.06.2026 - 21.06.2026,13833,13833,13833,13833,13833,13833,13833,13833,13833,13833,13833,13833,13833,13833,13833,13833,13833,13833,13833,13833,13833,13833,13833
14.06.2026 - 25.06.2026,14042,14042,14042,14042,14042,14042,14042,14042,14042,14042,14042,14042,14076,14076,14076,14076,14076,14076,14042,14042,14042,14042,14042
14.06.2026 - 26.06.2026,15516,15516,15516,15516,15516,15516,15516,15516,15516,15516,15516,15516,15576,15576,15576,15576,15576,15576,15542,15542,15542,15542,15542
17.06.2026 - 27.06.2026,13577,13577,13577,13577,13577,13577,13577,13577,13577,13577,13577,13577,13577,13577,13577,13577,13577,13577,13577,13577,13577,13577,13577
21.06.2026 - 02.07.2026,13605,13605,13605,13605,13605,13605,13605,13605,13605,13605,13605,13605,13605,13605,13605,13605,13605,13605,13605,13605,13605,13605,13605
24.06.2026 - 04.07.2026,14282,14282,14282,14282,14282,14282,14282,14282,14282,14282,14282,14282,14388,14304,14304,14304,14304,14304,14304,14304,14304,14304,14304
28.06.2026 - 10.07.2026,15339,15339,15339,15339,15339,15339,15339,15339,15339,15339,15339,15339,15339,15339,15339,15339,15339,15339,15339,15339,15339,15339,15339
01.07.2026 - 11.07.2026,13615,13615,13615,13615,13615,13615,13615,13615,13615,13615,13615,13615,13615,13615,13615,13615,13615,13615,13615,13615,13615,13615,13615
05.07.2026 - 16.07.2026,13670,13670,13670,13670,13670,13670,13670,13670,13670,13670,13670,13670,13670,13670,13670,13670,13670,13670,13670,13670,13670,13670,13670
05.07.2026 - 17.07.2026,15319,15319,15319,15319,15319,15319,15319,15319,15319,15319,15319,15319,15319,15319,15319,15319,15319,15319,15319,15319,15319,15319,15319
