,22.03.2026 19:03:27,22.03.2026 19:27:44,23.03.2026 05:08:03,24.03.2026 04:58:05,25.03.2026 04:58:07,26.03.2026 05:11:08,27.03.2026 05:11:43,28.03.2026 04:56:55,29.03.2026 05:14:42,30.03.2026 05:29:55,31.03.2026 05:13:19,01.04.2026 05:29:33,02.04.2026 05:07:15,03.04.2026 05:08:49,04.04.2026 04:54:34,05.04.2026 05:16:18,06.04.2026 05:28:58,07.04.2026 05:13:21,08.04.2026 05:15:22,09.04.2026 05:13:44,10.04.2026 05:30:08,11.04.2026 05:00:17,12.04.2026 05:28:04,13.04.2026 05:46:33,14.04.2026 05:28:31,15.04.2026 05:28:44,16.04.2026 05:34:54,17.04.2026 05:32:53,18.04.2026 05:10:56,19.04.2026 05:34:03,20.04.2026 05:46:05,21.04.2026 05:31:23
13.05.2026 - 28.05.2026,13182,13182,13882,13882,13582,13582,13632,13603,13032,13632,13882,14003,14003,13982,14032,13532,14032,14032,14032,13732,13332,13332,12832,13363,13663,13763,13803,13803,13782,12932,13532,12562
11.06.2026 - 26.06.2026,14553,14553,14553,14553,14553,14553,14553,14553,14553,14553,14553,14553,14553,14553,14553,14553,14553,14553,14553,14553,14553,14553,14553,14553,14782,14782,14782,14782,14782,14782,14782,14782
25.06.2026 - 10.07.2026,15403,15403,15403,15403,15403,15403,15403,15403,15403,15403,15403,15403,15403,15403,15403,15403,15403,15403,15403,15403,15403,15403,15403,15403,15633,15633,15633,15633,15633,15633,15633,15633
09.07.2026 - 24.07.2026,16354,16354,16354,16354,16354,16354,16354,16354,16354,16354,16354,16354,16354,16354,16354,16354,16354,16354,16354,15832,15832,15832,15832,15832,15832,15832,15832,15832,15832,15832,15832,15832
23.07.2026 - 07.08.2026,15933,15933,15933,15933,15933,15933,15933,15933,15933,15933,15933,15933,15933,15933,16474,16474,16474,16474,16474,16032,16032,16032,16032,16032,16032,16032,16032,16032,16032,16032,16032,16032
06.08.2026 - 21.08.2026,15883,15883,15883,15883,15883,15883,15883,15883,15883,15883,15883,15883,16822,16822,16822,16822,16822,16822,16822,16822,16822,16822,16822,16822,16822,16822,16822,16822,16822,16822,16822,16822
20.08.2026 - 04.09.2026,15403,15403,15403,15403,15403,15403,15403,15403,15403,15403,15403,15403,15403,15403,15403,15403,15403,15403,15403,15403,15403,15403,15403,15403,15403,15403,15403,15403,15403,15403,15403,15403
03.09.2026 - 18.09.2026,14753,14753,14753,14753,14854,14854,14854,14854,14854,14854,14854,14854,14854,14854,13188,13188,13188,13188,13188,13188,13188,13188,13188,13188,13188,13188,13188,13188,13188,13188,13188,13188
17.09.2026 - 02.10.2026,14653,14653,14653,14653,14653,14653,14653,14653,14653,14653,14653,14653,14653,14653,14653,14653,14653,14653,14653,14653,14653,14653,14653,14653,14653,14653,14653,14653,14653,14653,14653,14653
01.10.2026 - 16.10.2026,14482,14482,14482,14482,14482,14482,14482,14482,14482,14482,14482,14482,14482,14482,14482,14482,14482,14482,14482,14482,14482,14482,14482,14482,14482,14482,14482,14482,14482,14482,14482,14482
15.10.2026 - 30.10.2026,14653,14653,14653,14653,14653,14653,14653,14653,14653,14653,14653,14653,14653,14653,14653,14653,14653,14653,14653,14653,14653,14653,14653,14653,14653,14653,14653,14653,14653,14653,14653,14653
