,22.03.2026 19:03:43,23.03.2026 05:08:21,24.03.2026 04:58:24,25.03.2026 04:58:21,26.03.2026 05:11:26,27.03.2026 05:12:02,28.03.2026 04:57:10,29.03.2026 05:14:57,30.03.2026 05:30:13,31.03.2026 05:13:35,01.04.2026 05:29:52,02.04.2026 05:07:31,03.04.2026 05:09:04,04.04.2026 04:54:52,05.04.2026 05:16:34,06.04.2026 05:29:14,07.04.2026 05:13:36,08.04.2026 05:15:36,09.04.2026 05:13:59,10.04.2026 05:30:27,11.04.2026 05:00:35,12.04.2026 05:28:20,13.04.2026 05:46:51,14.04.2026 05:28:50,15.04.2026 05:29:01,16.04.2026 05:35:10,17.04.2026 05:33:11,18.04.2026 05:11:12,19.04.2026 05:34:22,20.04.2026 05:46:21,21.04.2026 05:31:39,22.04.2026 05:32:37,23.04.2026 05:35:10,24.04.2026 05:40:23,25.04.2026 05:15:51,26.04.2026 05:44:29,27.04.2026 05:59:58,28.04.2026 06:11:49,29.04.2026 05:58:58,30.04.2026 06:10:33,01.05.2026 06:20:33,02.05.2026 05:41:12,03.05.2026 06:10:02,04.05.2026 06:19:00
13.04.2026 - 26.04.2026,18878,19178,16678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.04.2026 - 12.05.2026,,,17777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.05.2026 - 14.05.2026,,,,,,,,,,,,,,,,,,18848,18848,18848,18348,17348,18348,,18348,,,,,18048,18048,18048,16548,16548,,,,,,,,,,
15.05.2026 - 28.05.2026,,,17133,17133,16332,16332,16332,15932,15932,16332,16332,16332,16733,16332,16332,16332,16332,16332,16332,15832,16633,16133,,16983,,,,,,,,16983,16583,,,16754,16747,16754,16754,17154,17154,16533,15732,15932
26.05.2026 - 08.06.2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16933,,,16933,16933,,16933
01.06.2026 - 14.06.2026,,,18454,18254,,18454,18454,18454,18454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.06.2026 - 17.06.2026,18934,18934,18934,18934,18934,18434,18634,18634,18634,18434,18434,18834,18434,17933,17933,17933,17933,18533,,18834,,,,,,,,,,,,,,,,,,,,,,,,
15.06.2026 - 28.06.2026,21456,21456,21456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.06.2026 - 04.07.2026,,,,,21466,,21466,21466,21466,,,21466,21466,21466,21466,21466,21466,21466,21466,21466,21466,21466,21466,,,,,,,,,,,,22456,22456,22447,22456,22456,22456,,,,
07.07.2026 - 20.07.2026,,,,,,,,,,,,21184,21184,21184,21184,21184,21184,21184,21184,21184,,,,20184,,,,,,,,,,,,,,,,,,,,
15.07.2026 - 28.07.2026,22405,22405,22405,22405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.08.2026 - 26.08.2026,22984,22984,22984,22984,22984,22684,22684,22684,22684,22684,22684,22684,22684,22684,22684,22684,22684,22684,22684,22884,22884,,,,,22884,22884,22884,22884,22884,22884,22884,22884,22884,,,,,,,,,,
20.08.2026 - 02.09.2026,22065,22065,22065,22065,22065,21065,21065,21065,21065,21065,21065,21065,21065,21065,21065,21065,21065,21865,21865,21865,21865,21865,22665,,,22265,22665,22665,22665,22665,22665,22665,22665,22665,22665,22665,22657,22665,22665,22665,22665,22665,22665,22665
07.09.2026 - 20.09.2026,20283,20283,20283,20283,20283,20283,20283,20533,20533,20533,20533,20533,20533,20533,20533,20533,20533,20533,20533,20533,20533,20533,20533,20533,20533,20533,20783,21034,21034,21034,20533,20533,20533,20533,20533,20533,20526,20533,20533,20533,20533,20533,20533,20533
12.09.2026 - 25.09.2026,22105,22105,22105,22105,22105,22105,22105,22105,22105,22105,22105,22105,22105,22105,22105,22105,22105,22105,22105,22105,22105,22105,22105,22105,22105,22105,22105,22105,22105,22105,22105,22105,22105,22105,22105,22105,22097,22105,22105,22105,22105,22105,22105,22105
16.09.2026 - 29.09.2026,22835,22835,22835,22835,22835,22835,22835,22835,22835,22835,22635,22835,22835,22835,22835,22835,22835,22835,22835,22835,22835,22835,22835,22835,22835,22835,22835,22835,22835,22835,23035,23035,23035,22835,22835,22835,22826,22835,22835,22835,23035,23035,23035,23035
20.09.2026 - 03.10.2026,19954,19954,19954,19954,20204,20204,20204,20204,20204,20204,20204,20204,20204,20204,20204,20204,20204,20204,20204,20204,20204,20204,20204,20204,20204,20204,20204,20204,20204,20204,20204,20204,20204,20204,20204,20204,20197,20454,20454,20454,20704,20704,20704,20704
26.09.2026 - 09.10.2026,23185,23185,23185,23185,23185,23185,23185,23185,23185,23185,23185,23185,23185,23185,23185,23185,23385,23385,23385,23385,23385,23385,23385,23185,23185,23185,23185,23185,23185,23185,,,23385,23385,23385,23385,23376,23385,23385,23385,,,,
06.10.2026 - 19.10.2026,22355,22355,22355,22355,22355,21855,21855,21855,21855,21855,21855,21855,21855,21855,21855,21855,21855,21855,21855,21855,21855,21855,21855,21855,21855,21855,21855,21855,21855,21855,21855,21855,21855,21855,21855,21855,21847,21855,21855,21855,21855,21855,21855,21855
13.10.2026 - 26.10.2026,21855,21855,21855,21855,21855,21355,21355,21355,21355,21355,21355,21355,21355,21355,21355,21355,21355,21355,21355,21355,21355,21355,21355,21355,21355,21355,21355,21355,21355,21355,21355,21355,21355,21355,21355,21355,21347,21355,21355,21355,21355,21355,21355,21355
26.10.2026 - 08.11.2026,20556,20556,20556,20556,20556,20056,19856,19856,19856,19856,19856,19856,19856,19856,19856,19856,19856,19856,19856,19856,19856,19856,19856,19856,19856,19856,19856,19856,20056,20056,20056,19856,19856,19856,19856,19856,19847,19856,19856,19856,19856,19856,19856,19856
31.10.2026 - 13.11.2026,18534,18534,18234,18234,18083,18234,18234,18234,18534,18534,18384,18234,18234,18234,18234,18384,18384,18534,18534,18534,18534,18534,18534,18534,18534,18534,18534,18534,18534,18534,18684,18684,18684,18684,18684,18684,18676,18684,18684,18684,18684,18684,18684,18684
03.11.2026 - 16.11.2026,18134,18134,18134,18134,18134,18134,17833,17833,17833,17833,17833,17833,17833,17833,17833,17833,17833,17833,17833,17833,17833,17833,17833,17833,17833,17633,17633,17633,18384,18384,18384,18384,18534,18384,18234,18234,18376,18534,18534,18534,18534,18534,18534,18534
08.11.2026 - 21.11.2026,18284,18284,18284,18284,18284,18284,18284,18284,18284,18284,18284,18284,18284,18284,18284,18284,18284,18284,18284,18284,18284,18284,18284,18284,18284,18284,18284,18284,18284,18284,18434,18434,18434,18434,18434,18434,18426,18434,18434,18434,18434,18434,18434,18434
11.11.2026 - 24.11.2026,18562,18562,18562,18562,18562,18562,18562,18562,18562,18562,18562,18562,18562,18562,18562,18562,18562,18562,18562,18562,18562,18562,18562,18562,18562,18334,18334,18334,18334,18334,18334,18334,18184,18184,18184,18184,18176,18184,18184,18184,18184,18184,18184,18184
18.11.2026 - 01.12.2026,18033,18033,18033,18033,18033,18033,18033,18033,18033,18033,18033,18033,18033,18033,18033,18033,18033,18033,18033,18033,18033,18033,18033,18033,18033,17633,17783,17783,17933,17933,17783,17783,17783,17783,17783,17783,17776,17783,17783,17783,17783,17783,17783,17783
23.11.2026 - 06.12.2026,17433,17433,17283,17283,17283,17283,17283,17283,17283,17283,17283,17283,17283,17283,17283,17283,17283,17283,17283,17283,17283,17283,17584,17734,17884,17584,17734,17584,17584,17584,17433,17433,17283,17283,17283,17283,17276,17283,17283,17283,17283,17283,17283,17283
26.11.2026 - 09.12.2026,17433,17433,17433,17433,17433,17433,17433,17433,17433,17433,17433,17433,17433,17433,17433,17433,17433,17433,17433,17433,17433,17433,17433,17433,17734,17734,17734,17584,17584,17584,17433,17433,17433,17433,17433,17433,17426,17433,17433,17433,17433,17433,17433,17584
30.11.2026 - 13.12.2026,17696,17696,17696,17696,17696,17696,17696,17696,17696,17696,17696,17696,17696,17696,17696,17696,17696,17696,17696,17696,17696,17696,17696,17696,17704,17704,17704,17704,17704,17704,17704,17704,17704,17704,17704,17704,17697,17704,17704,17704,17704,17704,17704,17704
06.12.2026 - 19.12.2026,17233,17233,17233,17233,17233,17233,17233,17233,17233,17233,17233,17383,17383,17383,17383,17383,17383,17383,17383,17383,17383,17383,17383,17533,17533,17733,17733,17733,17733,17733,17733,17733,17733,17733,17733,17733,17726,17733,17733,17883,17883,17883,17883,17883
26.12.2026 - 08.01.2027,21756,21756,21756,21756,21756,21756,21756,21756,21756,21756,21756,21756,21756,21756,21756,21756,21756,21756,21756,21756,21756,21756,21756,21756,21764,21764,21764,21764,21764,21764,21764,21764,21764,21764,21764,21764,21756,21764,21764,21764,21764,21764,21764,21764
07.01.2027 - 20.01.2027,17905,17905,17905,17905,17905,17905,17905,17905,17905,17905,17905,17905,17905,17905,17905,17905,17905,17905,17905,17905,17905,17905,17905,17905,17905,17905,17905,17905,18205,18205,18355,18355,18355,18355,18355,18355,18347,18355,18355,18355,18355,18355,18355,18355
17.01.2027 - 30.01.2027,18484,18484,18333,18333,18333,18333,18484,18484,18484,18484,18484,18484,18484,18484,18484,18484,18484,18484,18484,18484,18484,18484,18484,18484,18484,18484,18484,18484,18634,18634,18634,18484,18484,18484,18484,18484,18476,18484,18484,18634,18634,18634,18634,18634
21.01.2027 - 03.02.2027,17949,17949,17949,17949,17949,17949,18105,18105,18105,18105,18105,18105,18105,18105,18105,18105,18105,18105,18105,18105,18105,18105,18105,18105,18105,18105,18105,18105,18105,18105,18105,18105,18105,18105,18105,18105,18097,18105,18105,18105,18105,18105,18105,18105
25.01.2027 - 07.02.2027,17979,17979,17979,17979,17979,17979,17979,17979,17979,17979,17979,17979,17979,17979,18134,18134,18134,18134,17983,17983,17983,17983,17983,17983,17983,17983,17983,17983,17983,17983,17983,17983,17983,17983,17983,17983,17976,17983,17983,17983,17983,17983,17983,17983
01.02.2027 - 14.02.2027,19755,19755,19755,19605,19605,19605,19605,19605,19605,19605,19605,19605,19605,19605,19605,19605,19605,19605,19605,19605,19605,19605,19605,19605,19605,19605,19605,19605,19605,19605,19605,19605,19605,19605,19605,19605,19597,19605,19605,19605,19605,19605,19605,19605
08.02.2027 - 21.02.2027,18209,18209,18209,18209,18209,18209,18209,18209,18365,18365,18365,18365,18234,18234,18384,18384,18384,18384,18384,18384,18384,18384,18384,18384,18384,18384,18384,18384,18384,18384,18384,18384,18384,18384,18384,18384,18376,18384,18384,18384,18384,18384,18384,18384
14.02.2027 - 27.02.2027,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19142,19150,19150,19150,19150,19150,19150,19150
21.02.2027 - 06.03.2027,19268,19268,19268,19268,19268,19268,19268,19268,19268,19268,19268,19268,19268,19268,19268,19268,19268,19268,19268,19268,19268,19268,19268,19268,19268,19268,19268,19268,19268,19268,19268,19268,19268,19268,19268,19268,19260,19268,19268,19268,19268,19268,19268,19268
28.02.2027 - 13.03.2027,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19142,19150,19150,19150,19150,19150,19150,19150
05.03.2027 - 18.03.2027,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19142,19150,19150,19150,19150,19150,19150,19150
