,28.09.2025 20:01:22,28.09.2025 21:46:15,29.09.2025 03:43:31,30.09.2025 03:37:13,01.10.2025 03:46:53,02.10.2025 03:35:19
30.10.2025 - 10.11.2025,11924,11924,11924,12024,8953,8900
20.11.2025 - 01.12.2025,11870,11870,11870,11870,8726,9260
11.12.2025 - 22.12.2025,8648,8648,8648,,8920,8355
01.01.2026 - 12.01.2026,9303,9303,9303,9303,9660,10046
22.01.2026 - 02.02.2026,9299,9299,9299,9356,9647,9639
12.02.2026 - 23.02.2026,9370,9370,9370,9370,9662,10050
05.03.2026 - 16.03.2026,8716,8716,8716,8716,9054,11209
