,01.03.2025 03:35:38,02.03.2025 03:32:45,03.03.2025 03:34:01,04.03.2025 03:34:32,05.03.2025 03:32:26,12.03.2025 03:34:15,13.03.2025 03:35:42,14.03.2025 03:34:55,15.03.2025 03:32:00,16.03.2025 03:37:41,19.02.2025 22:14:52,20.02.2025 03:29:05,21.02.2025 03:29:26,22.02.2025 03:26:49,23.02.2025 03:30:09,24.02.2025 03:32:22,25.02.2025 03:31:53,26.02.2025 03:31:35,27.02.2025 03:31:51,27.02.2025 23:28:59,28.02.2025 03:31:55
19.03 - 27.03,6716,6716,6716,6716,6716,6926,6926,6926,6926,,,,,,,,,,,,6716
02.04 - 10.04,6656,6656,6656,6656,6656,6656,6656,6656,6656,6656,,,,,,,,,,,
04.04 - 12.04,6926,7026,7026,7226,7226,,,,,,6926,6926,6926,6926,6926,6926,6926,6926,6926,6926,6926
16.04 - 24.04,6656,6656,6656,6656,6656,6757,6657,6657,6657,6657,,,,,,,,,,,6656
18.04 - 26.04,7426,7426,7426,7126,7126,8326,8326,8326,8526,8726,7426,7426,7426,7426,7426,7426,7626,7626,7426,7426,7426
23.04 - 01.05,6937,6937,6937,6937,6937,6937,6937,6937,6937,6937,,,,,,,,,,,
25.04 - 03.05,7227,7127,7127,7327,7477,7427,7527,7727,7727,7727,6627,6627,6827,6827,6827,6827,7027,7227,7027,7227,7227
08.05 - 16.05,6926,6926,6926,6926,6926,6926,6697,6626,6626,6626,6876,6876,6876,6876,6876,6876,6876,6876,6926,6926,6926
15.05 - 23.05,6747,6747,6747,6747,6747,6747,6447,6447,6447,,6697,,6697,6697,6697,6697,6697,6697,6747,6747,6747
29.05 - 06.06,6747,6747,6747,6747,6747,6747,6447,6447,6447,6447,6697,,6697,6697,6697,6697,6697,6697,6747,6747,6747
05.06 - 13.06,6826,6826,6826,6826,6826,6826,6526,6526,6526,,6776,6776,6776,6776,6776,6776,6776,6847,6897,6897,6897
12.06 - 20.06,6826,6826,6826,6826,6826,6826,6526,6526,6526,6526,6776,6776,6776,6776,6776,6776,6776,6776,6826,6826,6826
19.06 - 27.06,6876,6876,6876,6876,6876,6876,6576,6576,6576,,6826,,6826,6826,6826,6826,6826,6826,6876,6876,6876
26.06 - 04.07,6826,6826,6826,6826,6826,6826,6526,6526,6526,6526,6776,,6776,6776,6776,6776,6776,6776,6826,6826,6826
10.07 - 18.07,7097,7097,7097,,,,,,,,6826,6826,6826,6826,6826,6826,6826,6826,6876,6876,6876
24.07 - 01.08,6876,6876,6876,6876,6876,6947,6647,6647,6647,6647,6826,6826,6826,6826,6826,6826,6826,6826,6876,6876,6876
07.08 - 15.08,6876,6876,6876,6876,6876,6876,6576,6576,6576,6576,6826,,6826,6826,6826,6826,6826,6826,6876,6876,6876
14.08 - 22.08,6797,6797,6797,6797,6797,6797,6497,6497,6497,,6747,,6747,6747,6747,6747,6747,6747,6797,6797,6797
11.09 - 19.09,6947,6947,6947,6947,6947,6947,6647,6647,6647,,6897,6897,6897,6897,6897,6897,6897,6897,6947,6947,6947
18.09 - 26.09,6947,6947,6947,6947,6947,6947,6647,6647,6647,6647,6897,6897,6897,6897,6897,6897,6897,6897,6947,6947,6947
25.09 - 03.10,7026,7026,7026,7026,7026,7026,6726,6726,6726,,6976,,6976,6976,6976,6976,6976,6976,7026,7026,7026
02.10 - 10.10,6682,6682,6682,6682,6682,6682,6682,6682,6682,,,,,,,,,,,,6682
16.10 - 24.10,6745,6745,6745,6745,6745,6745,6745,6745,6745,6745,,,,,,,,,,,
30.10 - 07.11,6839,6839,6839,6839,6839,6839,6839,6839,6839,6839,,,,,,,,,,,6839
13.11 - 21.11,6716,6716,6716,6716,6716,6826,6826,6826,6826,,,,,,,,,,,,6716
27.11 - 05.12,6756,6756,6756,6756,6756,6756,6756,6756,6756,6756,,,,,,,,,,,
11.12 - 19.12,6737,6737,6737,6737,6737,6737,6737,6737,6737,6737,,,,,,,,,,,6737
18.12 - 26.12,7202,7202,7202,7202,7202,7202,7202,7202,7202,7202,,,,,,,,,,,7202
25.12 - 02.01,7121,7121,7121,7121,7121,7121,7121,7121,7121,7121,,,,,,,,,,,7121
08.01 - 16.01,6796,6796,6796,6796,6796,6796,6796,6796,6796,6796,,,,,,,,,,,6796
22.01 - 30.01,6737,6737,6737,6737,6737,6847,6847,6847,6847,6847,,,,,,,,,,,6737
05.02 - 13.02,6737,6737,6737,6737,6737,6747,6747,6747,6747,,,,,,,,,,,,6737
19.02 - 27.02,6616,6616,6616,6826,6826,6826,6826,6826,6826,6826,,,,,,,,,,,6616
05.03 - 13.03,6796,6796,6796,6796,6796,6796,6796,6796,6796,6796,,,,,,,,,,,
