,22.03.2026 19:02:12,23.03.2026 05:06:37,24.03.2026 04:56:33,25.03.2026 04:56:56,26.03.2026 05:09:42,27.03.2026 05:10:17,28.03.2026 04:55:41,29.03.2026 05:13:30,30.03.2026 05:28:30,31.03.2026 05:12:03,01.04.2026 05:28:00,02.04.2026 05:06:00,03.04.2026 05:07:34,04.04.2026 04:53:06,05.04.2026 05:15:02,06.04.2026 05:27:43,07.04.2026 05:12:10,08.04.2026 05:14:10,09.04.2026 05:12:32,10.04.2026 05:28:35,11.04.2026 04:58:49,12.04.2026 05:26:48,13.04.2026 05:45:11,14.04.2026 05:27:06,15.04.2026 05:27:27,16.04.2026 05:33:45
16.08.2026 - 27.08.2026,14431,14431,14431,14431,14431,14431,14431,14431,14431,14431,14431,14431,14431,14431,14431,14431,14431,14431,14431,14431,14431,14531,14531,14531,14531,14531
19.08.2026 - 31.08.2026,14564,14564,14564,14564,14564,14564,14564,14564,14564,14564,14564,14564,14564,14564,14564,14564,14564,14564,14564,14564,14564,14564,14564,14564,14564,14564
23.08.2026 - 03.09.2026,13781,13781,13781,13781,13781,13781,13781,13781,13781,13781,13781,13781,13781,13781,13781,13781,13781,13781,13781,13781,13781,13881,13881,13881,13881,13881
26.08.2026 - 07.09.2026,14133,14133,14133,14133,14133,14133,14133,14133,14133,14133,14133,14133,14133,14133,14133,14133,14133,14133,14133,14133,14133,14133,14133,14133,14133,14133
30.08.2026 - 10.09.2026,13852,13852,13852,13852,13852,13852,13852,13852,13852,13852,13852,13852,13852,13852,13852,13852,13852,13852,13852,13852,13852,13852,13952,13952,13952,13952
01.09.2026 - 13.09.2026,14334,14334,14334,14334,14334,14334,14334,14334,14334,14334,14334,14334,14334,14334,14334,14334,14334,14334,14334,14334,14334,14334,14334,14334,14334,14534
02.09.2026 - 14.09.2026,14154,14154,14154,14154,14154,14154,14154,14154,14154,14154,14154,14154,14354,14354,14354,14354,14354,14354,14354,14354,14354,14354,14354,14354,14354,14354
06.09.2026 - 17.09.2026,14152,14152,14052,14052,14052,14052,14052,14052,14052,14052,14052,14052,14052,14052,14052,14052,14052,14052,14052,14052,14052,14052,14052,14052,14052,14152
08.09.2026 - 20.09.2026,14134,14134,14234,14234,14234,14234,14234,14234,14234,14234,14134,14134,14134,14134,14134,14134,14134,14134,14134,14134,14134,14134,14234,14134,14134,14134
09.09.2026 - 21.09.2026,14254,14254,14254,14254,14254,14254,14254,14254,14254,14254,14254,14254,14254,14254,14254,14254,14254,14254,14254,14254,14254,14254,14254,14254,14254,14254
13.09.2026 - 24.09.2026,14131,14131,14131,14131,14131,14131,14131,14131,14131,14131,14131,14131,14131,14131,14131,14131,14131,14131,14131,14131,14131,14131,14131,14131,14131,14131
16.09.2026 - 28.09.2026,14354,14354,14354,14354,14354,14354,14354,14354,14454,14454,14454,14454,14454,14454,14454,14454,14454,14454,14454,14454,14454,14454,14454,14454,14454,14454
20.09.2026 - 01.10.2026,14531,14531,14531,14531,14531,14531,14531,14531,14531,14531,14531,14531,14531,14531,14531,14531,14531,14531,14531,14531,14531,14531,14531,14531,14531,14531
23.09.2026 - 05.10.2026,14183,14183,14183,14183,14183,14183,14183,14183,14183,14183,14183,14183,14283,14283,14283,14283,14383,14483,14684,14784,14583,14583,14583,14684,14684,14684
30.09.2026 - 12.10.2026,14054,14054,14054,14054,14054,14054,14054,14054,14054,14054,14054,14054,14054,14054,14054,14054,14054,14054,14054,14054,14054,14054,14054,14054,14054,14054
04.10.2026 - 15.10.2026,14752,14752,14752,14752,14752,14752,14752,14752,14752,14752,14752,14752,14752,14752,14752,14752,14752,14752,14752,14752,14752,14752,14752,14752,14752,14752
07.10.2026 - 19.10.2026,14804,14804,14804,14804,14804,14804,14804,14804,14804,14804,14804,14804,14804,14804,14804,14804,14804,14804,14804,14804,14804,14804,14804,14804,14804,14804
