,01.03.2026 21:28:27,01.03.2026 21:32:48,02.03.2026 04:49:27,03.03.2026 04:47:56,04.03.2026 04:41:30,05.03.2026 04:45:48,06.03.2026 04:43:13,07.03.2026 04:22:18,08.03.2026 04:44:08,09.03.2026 04:52:52,10.03.2026 04:43:12,11.03.2026 04:44:17,13.03.2026 04:45:28,14.03.2026 04:43:31,15.03.2026 05:07:00
22.10.2026 - 29.10.2026,3339,3339,3339,3339,3337,3337,3337,3337,3337,3337,3337,3587,3379,3379,3379
22.10.2026 - 05.11.2026,4387,4387,4387,4387,4399,4399,4399,4399,4399,4399,4399,4649,4446,4446,4446
29.10.2026 - 05.11.2026,3241,3241,3241,3241,3240,3240,3240,3240,3240,3240,3240,3490,3293,3293,3293
29.10.2026 - 12.11.2026,4360,4360,4360,4360,4373,4373,4373,4373,4373,4373,4373,4623,4424,4424,4424
05.11.2026 - 12.11.2026,3792,3792,3792,3792,3791,3791,3791,3791,3791,3791,3791,3991,3836,3836,3836
12.11.2026 - 19.11.2026,3933,3933,3928,3928,3928,3928,3928,3928,3928,3928,3928,3928,3928,3928,3928
12.11.2026 - 26.11.2026,4984,4984,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996
19.11.2026 - 26.11.2026,3804,3804,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800
19.11.2026 - 03.12.2026,4855,4855,4867,4867,4867,4867,4867,4867,4867,4867,4867,4867,4867,4867,4867
26.11.2026 - 03.12.2026,3763,3763,3759,3759,3759,3759,3759,3759,3759,3759,3759,3759,3759,3759,3759
26.11.2026 - 10.12.2026,4801,4801,4812,4812,4812,4812,4812,4812,4812,4812,4812,4812,4812,4812,4812
03.12.2026 - 10.12.2026,3696,3696,3691,3691,3691,3691,3691,3691,3691,3691,3691,3691,3691,3691,3691
03.12.2026 - 17.12.2026,4747,4747,4758,4758,4758,4758,4758,4758,4758,4758,4758,4758,4758,4758,4758
10.12.2026 - 17.12.2026,3657,3657,3652,3652,3652,3652,3652,3652,3652,3652,3652,3652,3652,3652,3652
10.12.2026 - 24.12.2026,4695,4695,4706,4706,4706,4706,4706,4706,4706,4706,4706,4706,4706,4706,4706
17.12.2026 - 24.12.2026,3630,3630,3625,3625,3625,3625,3625,3625,3625,3625,3625,3625,3625,3625,3625
17.12.2026 - 31.12.2026,4984,4984,4995,4995,4995,4995,4995,4995,4995,4995,4995,4995,4995,4995,4995
24.12.2026 - 31.12.2026,4037,4037,4032,4032,4032,4032,4032,4032,4032,4032,4032,4032,4032,4032,4032
24.12.2026 - 07.01.2027,5441,5441,5452,5452,5452,5452,5452,5452,5452,5452,5452,5452,5452,5452,5452
31.12.2026 - 07.01.2027,4256,4256,4252,4252,4252,4252,4252,4252,4252,4252,4252,4252,4252,4252,4252
31.12.2026 - 14.01.2027,5280,5280,5292,5292,5292,5292,5292,5292,5292,5292,5292,5292,5292,5292,5292
07.01.2027 - 14.01.2027,3978,3978,3973,3973,3973,3973,3973,3973,3973,3973,3973,3973,3973,3973,3973
07.01.2027 - 21.01.2027,5063,5063,5075,5075,5075,5075,5075,5075,5075,5075,5075,5075,5075,5075,5075
14.01.2027 - 21.01.2027,3791,3791,3787,3787,3787,3787,3787,3787,3787,3787,3787,3787,3787,3787,3787
14.01.2027 - 28.01.2027,4842,4842,4853,4853,4853,4853,4853,4853,4853,4853,4853,4853,4853,4853,4853
21.01.2027 - 28.01.2027,3791,3791,3787,3787,3787,3787,3787,3787,3787,3787,3787,3787,3787,3787,3787
21.01.2027 - 04.02.2027,4842,4842,4853,4853,4853,4853,4853,4853,4853,4853,4853,4853,4853,4853,4853
28.01.2027 - 04.02.2027,4051,4051,4046,4046,4046,4046,4046,4046,4046,4046,4046,4046,4046,4046,4046
28.01.2027 - 11.02.2027,5101,5101,5114,5114,5114,5114,5114,5114,5114,5114,5114,5114,5114,5114,5114
04.02.2027 - 11.02.2027,4051,4051,4046,4046,4046,4046,4046,4046,4046,4046,4046,4046,4046,4046,4046
04.02.2027 - 18.02.2027,5101,5101,5114,5114,5114,5114,5114,5114,5114,5114,5114,5114,5114,5114,5114
11.02.2027 - 18.02.2027,4051,4051,4046,4046,4046,4046,4046,4046,4046,4046,4046,4046,4046,4046,4046
11.02.2027 - 25.02.2027,5095,5095,5107,5107,5107,5107,5107,5107,5107,5107,5107,5107,5107,5107,5107
18.02.2027 - 25.02.2027,4036,4036,4031,4031,4031,4031,4031,4031,4031,4031,4031,4031,4031,4031,4031
18.02.2027 - 04.03.2027,5073,5073,5085,5085,5085,5085,5085,5085,5085,5085,5085,5085,5085,5085,5085
25.02.2027 - 04.03.2027,4007,4007,4002,4002,4002,4002,4002,4002,4002,4002,4002,4002,4002,4002,4002
25.02.2027 - 11.03.2027,5058,5058,5070,5070,5070,5070,5070,5070,5070,5070,5070,5070,5070,5070,5070
04.03.2027 - 11.03.2027,4007,4007,4002,4002,4002,4002,4002,4002,4002,4002,4002,4002,4002,4002,4002
04.03.2027 - 18.03.2027,5044,5044,5056,5056,5056,5056,5056,5056,5056,5056,5056,5056,5056,5056,5056
11.03.2027 - 18.03.2027,3723,3723,3718,3718,3718,3718,3718,3718,3718,3718,3718,3718,3718,3718,3718
11.03.2027 - 25.03.2027,4774,4774,4785,4785,4785,4785,4785,4785,4785,4785,4785,4785,4785,4785,4785
18.03.2027 - 25.03.2027,3763,3763,3759,3759,3759,3759,3759,3759,3759,3759,3759,3759,3759,3759,3759
18.03.2027 - 01.04.2027,4834,4834,4845,4845,4845,4845,4845,4845,4845,4845,4845,4845,4845,4845,4845
25.03.2027 - 01.04.2027,3804,3804,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800
25.03.2027 - 08.04.2027,5175,5175,5186,5186,5186,5186,5186,5186,5186,5186,5186,5186,5186,5186,5186
01.04.2027 - 08.04.2027,3846,3846,3841,3841,3841,3841,3841,3841,3841,3841,3841,3841,3841,3841,3841
01.04.2027 - 15.04.2027,5236,5236,5248,5248,5248,5248,5248,5248,5248,5248,5248,5248,5248,5248,5248
08.04.2027 - 15.04.2027,3763,3763,3759,3759,3759,3759,3759,3759,3759,3759,3759,3759,3759,3759,3759
08.04.2027 - 22.04.2027,5153,5153,5164,5164,5164,5164,5164,5164,5164,5164,5164,5164,5164,5164,5164
15.04.2027 - 22.04.2027,3763,3763,3759,3759,3759,3759,3759,3759,3759,3759,3759,3759,3759,3759,3759
