,28.09.2025 20:01:30,28.09.2025 21:46:24,29.09.2025 03:43:40,30.09.2025 03:37:21,01.10.2025 03:47:00,02.10.2025 03:35:27,04.10.2025 03:31:59,05.10.2025 03:41:06
30.10.2025 - 10.11.2025,7200,7200,7200,7300,7300,7300,6821,6821
20.11.2025 - 01.12.2025,7131,7131,7131,7131,7131,7081,7081,7081
11.12.2025 - 22.12.2025,7402,7402,7402,7172,7172,6751,6650,6650
01.01.2026 - 12.01.2026,8031,8031,8031,8031,8031,8051,7651,7651
22.01.2026 - 02.02.2026,8111,8111,8111,8161,8161,7811,7411,7411
12.02.2026 - 23.02.2026,8111,8111,8111,8111,8111,8111,7911,7911
05.03.2026 - 16.03.2026,7482,7482,7482,7482,7522,7972,7972,7972
