,28.09.2025 20:02:16,28.09.2025 21:47:22,29.09.2025 03:44:35,30.09.2025 03:38:08,01.10.2025 03:47:44,02.10.2025 03:36:15,04.10.2025 03:32:47,05.10.2025 03:41:58
17.11.2025 - 29.11.2025,7547,7547,7547,7476,7626,7547,7797,7797
25.11.2025 - 06.12.2025,7757,7757,7757,7757,7757,7847,7847,7847
29.11.2025 - 10.12.2025,7747,7747,7747,7747,7747,7476,7476,7526
23.02.2026 - 06.03.2026,9997,9997,9997,9997,9997,9997,9997,9997
02.03.2026 - 13.03.2026,8247,8247,8247,8247,8247,8247,8247,8247
04.03.2026 - 15.03.2026,8047,8047,8047,8047,8047,8047,8047,8047
09.03.2026 - 20.03.2026,8447,8447,8447,8447,8447,8447,8447,8447
11.03.2026 - 22.03.2026,7876,7876,7876,7876,7876,7876,7876,7876
16.03.2026 - 27.03.2026,8046,8046,8046,8046,8046,8046,8046,8046
17.03.2026 - 28.03.2026,8347,8347,8347,8426,8426,8426,8426,8426
18.03.2026 - 29.03.2026,8026,8026,8026,8026,8026,8026,8026,8026
23.03.2026 - 03.04.2026,8010,8010,8010,8010,8010,8010,8010,8010
30.03.2026 - 10.04.2026,11426,11426,11426,11426,11426,11426,11347,11347
31.03.2026 - 11.04.2026,8447,8447,8447,8447,8447,8447,8447,8447
06.04.2026 - 17.04.2026,9709,9709,9709,9709,9709,9709,9709,9709
07.04.2026 - 18.04.2026,9057,9057,9057,9057,9057,9057,9057,9057
13.04.2026 - 24.04.2026,9376,9376,9376,9376,9376,9376,9376,9376
14.04.2026 - 25.04.2026,8976,8976,8976,8976,8976,8976,8976,8976
20.04.2026 - 01.05.2026,10175,10175,10175,10175,10175,10175,10175,10175
27.04.2026 - 08.05.2026,9876,9876,9876,9876,9876,9876,9876,9876
01.05.2026 - 12.05.2026,7797,7797,7797,7797,7797,7797,7897,7897
02.05.2026 - 13.05.2026,7726,7726,7726,7726,7726,7726,7726,7726
04.05.2026 - 15.05.2026,7626,7626,7626,7626,7626,7626,7626,7626
08.05.2026 - 19.05.2026,7426,7426,7426,7426,7426,7526,7526,7526
09.05.2026 - 20.05.2026,7626,7626,7626,7626,7626,7626,7626,7626
10.05.2026 - 21.05.2026,7476,7476,7476,7476,7476,7476,7476,7476
11.05.2026 - 22.05.2026,7226,7226,7226,7626,7626,7626,7626,7626
15.05.2026 - 26.05.2026,7497,7497,7497,7597,7497,7497,7497,7497
16.05.2026 - 27.05.2026,7626,7626,7626,7526,7626,7826,7826,7826
17.05.2026 - 28.05.2026,8026,8026,8026,8026,8026,8026,8026,8026
18.05.2026 - 29.05.2026,7426,7426,7426,7426,7426,7426,7426,7426
19.05.2026 - 30.05.2026,8047,8047,8047,8047,8047,8047,8047,8047
22.05.2026 - 02.06.2026,7257,7257,7257,7257,7257,7257,7257,7257
23.05.2026 - 03.06.2026,7776,7776,7776,7576,7576,7576,7476,7476
