,22.03.2026 19:03:07,23.03.2026 05:07:38,24.03.2026 04:57:40,25.03.2026 04:57:48,26.03.2026 05:10:44,27.03.2026 05:11:19,28.03.2026 04:56:35,29.03.2026 05:14:23,30.03.2026 05:29:32,31.03.2026 05:12:59,01.04.2026 05:29:07,02.04.2026 05:06:56,03.04.2026 05:08:30,04.04.2026 04:54:10,05.04.2026 05:15:58,06.04.2026 05:28:37,07.04.2026 05:13:03,08.04.2026 05:15:03,09.04.2026 05:13:25,10.04.2026 05:29:42,11.04.2026 04:59:53,12.04.2026 05:27:44,13.04.2026 05:46:12,14.04.2026 05:28:08,15.04.2026 05:28:23,16.04.2026 05:34:34,17.04.2026 05:32:29,18.04.2026 05:10:36,19.04.2026 05:33:36,20.04.2026 05:45:44,21.04.2026 05:31:02,22.04.2026 05:31:25,23.04.2026 05:34:32,24.04.2026 05:39:41,25.04.2026 05:15:17,26.04.2026 05:43:48,27.04.2026 05:59:14,28.04.2026 06:11:12,29.04.2026 05:58:24,30.04.2026 06:09:49,01.05.2026 06:19:57,02.05.2026 05:40:36,03.05.2026 06:09:17,04.05.2026 06:18:13,05.05.2026 05:47:17,06.05.2026 06:09:05,07.05.2026 06:14:46,08.05.2026 05:34:49,09.05.2026 05:52:36,10.05.2026 06:15:57,11.05.2026 06:45:41,12.05.2026 06:18:37,13.05.2026 06:29:53,14.05.2026 06:29:07,15.05.2026 06:37:45,16.05.2026 05:58:35,17.05.2026 04:30:26,18.05.2026 04:35:06,19.05.2026 04:31:25,20.05.2026 04:33:58,22.05.2026 04:33:02,23.05.2026 04:23:20,24.05.2026 04:34:37,25.05.2026 04:37:40,26.05.2026 04:32:27,27.05.2026 04:36:33,28.05.2026 04:34:12,29.05.2026 04:35:48,30.05.2026 04:27:50,31.05.2026 04:36:38,01.06.2026 04:39:31,02.06.2026 04:36:50,03.06.2026 04:38:05,04.06.2026 04:37:10,05.06.2026 04:36:20,06.06.2026 04:29:08,07.06.2026 04:38:17,08.06.2026 04:37:57,09.06.2026 04:31:37,10.06.2026 04:36:08,11.06.2026 04:37:36,12.06.2026 04:36:58,13.06.2026 04:36:31,14.06.2026 04:37:47,15.06.2026 04:39:54
31.03.2026 - 14.04.2026,10738,10738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.04.2026 - 04.05.2026,12074,12074,11924,11924,11924,11924,11924,11924,11924,12103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.04.2026 - 12.05.2026,11204,11204,11204,11204,11204,11325,11325,11325,11325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.05.2026 - 18.05.2026,12424,12424,12424,12424,12424,12424,12424,12424,12424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.05.2026 - 25.05.2026,11352,11352,11352,11352,11352,11352,11031,11031,11031,14684,14604,14684,14684,14684,14834,14834,14726,14575,14575,14575,14704,14704,14704,14855,14855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.05.2026 - 01.06.2026,11335,11335,11335,11335,11335,11335,11335,11335,11335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.05.2026 - 08.06.2026,11424,11424,11424,11424,11424,11424,11424,11424,11424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.06.2026 - 15.06.2026,11202,11202,11282,11303,11303,11231,11231,11231,11231,12153,12153,12232,12053,12053,11974,11974,11974,11974,11974,11974,11974,12053,12053,12234,12653,,13354,,,,13325,13325,13254,13254,13304,13304,13297,,13033,,,,,,,11803,10623,10702,10452,10252,10452,9752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.06.2026 - 22.06.2026,11376,11376,11376,11376,11376,11376,11376,11376,11376,11376,11376,11376,11376,11376,11376,11376,11376,11376,11376,11582,11582,11582,11582,11832,11753,11753,11682,11811,11911,11911,11911,11911,11911,11832,12082,12082,12155,12303,12232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.06.2026 - 29.06.2026,11377,11377,11377,11377,11377,11377,11377,11377,11377,11377,11377,11377,11377,11377,11377,11377,11377,11377,11377,11474,11474,11474,11474,11653,11574,11653,11574,11732,11732,11732,11811,11811,11732,11732,11982,11982,11976,11982,11982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.06.2026 - 06.07.2026,11302,11302,11302,11302,11302,11302,11302,11302,11502,11502,11502,11302,11302,11323,11323,11323,11323,11323,11323,11323,11323,11323,11432,11713,11713,11884,11884,11874,11874,11874,11874,11881,11810,11810,11974,11974,11967,11974,11974,12524,12624,12624,12624,12624,12624,12663,12663,12582,12663,12663,12663,12663,12663,12582,12582,12582,12582,12582,12582,12582,12724,10702,10302,10702,10302,10502,10252,10252,10202,9802,10202,10051,10001,9801,9801,9751,9730,,10981,10030,,,,,
29.06.2026 - 13.07.2026,13024,13024,12874,12874,12874,12874,12874,12874,12874,12874,12874,12874,12874,12874,12874,12874,12874,12874,12874,12874,12874,12874,12874,13074,13074,13074,13074,13233,13233,13233,13233,13233,13233,13281,13541,13493,13704,13532,13532,13532,13703,13703,13703,13703,13553,13553,13553,13553,13553,13553,13553,13553,13553,13553,13553,13553,13553,13553,13553,13553,13683,11831,11831,11831,11831,,,,11859,11859,11983,11981,12102,12232,12232,11852,11452,11852,11652,11652,,,,,
06.07.2026 - 20.07.2026,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,13103,13103,13103,13103,,,13353,13346,13153,13153,13153,13153,13153,13153,13153,13153,13153,13153,13153,13153,13153,13153,13153,13153,13153,13313,13332,13332,13332,13253,13182,13563,13694,13694,13694,13694,13834,,,,,,,,,,,,,,,,,,,
13.07.2026 - 27.07.2026,12734,12734,12653,12653,12653,12653,12653,12653,12653,12653,12653,12653,12653,12653,12653,12653,12653,12760,12760,12760,13241,13241,13241,13241,13241,13241,13241,13241,13081,13081,13160,13081,13081,13081,13081,13081,13074,13241,13241,13241,13241,13241,13241,13241,13241,13241,13241,13241,,,,,,13260,13260,,,,13260,13260,,,,,13531,,,,,,,13660,13811,,,,,,,,13832,13832,,,
20.07.2026 - 03.08.2026,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12413,12413,12413,12413,12303,12360,12360,12360,12360,12360,12360,12360,12360,12360,12353,12360,12360,12360,12360,12360,12360,12360,12360,12360,12360,12360,12360,12360,12360,12360,12360,12360,12360,12360,12360,12403,12563,12732,12963,13094,12934,12934,13163,,,,,,,,,,,,,,,,,,,,
27.07.2026 - 10.08.2026,12782,12782,12782,12782,12782,12782,12782,12782,12782,12782,12782,12782,12782,12782,12782,12782,12782,12782,12782,12782,12782,12782,12782,12782,12782,12782,12782,12903,12903,12903,12903,12903,12903,12903,12903,12903,12896,12903,12903,12903,13074,13074,13074,13074,13153,13153,13153,13074,13074,13074,13074,13074,13074,13074,13324,13174,13174,13174,13353,13353,13253,13384,13474,13474,13474,15153,15175,14774,14774,14853,14853,14624,14774,14774,14774,14703,14703,14703,14703,14703,14803,14832,14913,15003,15003
03.08.2026 - 17.08.2026,13032,13032,13032,13032,13032,13032,13032,13032,13032,13032,13032,13032,13032,13032,13032,13032,13032,13032,13032,13032,13032,13032,13032,13032,13032,13032,13132,13053,13053,13053,13053,13053,13382,13382,,,,13303,13303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.08.2026 - 24.08.2026,13503,13503,13503,13503,13503,13503,13503,13503,13503,13503,13503,13503,13503,13503,13503,13503,13503,13503,13503,13503,13503,13503,13503,13503,13503,13503,13503,13524,13524,13524,13903,13903,13903,13903,13634,13553,13547,13724,13724,13653,13574,13574,13574,13574,13574,13574,13574,13574,13574,13824,13824,14175,14175,14175,14204,14003,14003,14003,13932,14254,14404,14333,14433,14433,14354,14504,14504,14433,14433,14433,14433,14433,14433,14433,14433,14533,14533,14533,14533,14454,14454,14454,14454,14454,14533
17.08.2026 - 31.08.2026,12853,12853,12853,12853,12853,12853,12853,12853,12853,12853,12853,12853,12853,12853,12853,12853,12853,12853,13024,13024,13024,13024,13024,13024,13024,13024,13024,13074,13074,13074,13074,13074,13074,13074,13074,13074,13067,13153,13153,13153,13153,13153,13153,13153,13153,13153,13153,13153,13153,13153,13153,13153,13153,13153,13324,13324,13324,13324,13174,13174,13474,13603,13603,13603,13603,13734,13734,13734,13734,13734,13853,13853,13853,13853,13853,13753,13753,13753,13753,13753,13753,13753,13753,13753,13834
24.08.2026 - 07.09.2026,11477,11477,11477,11477,11477,11477,11477,11477,11477,11477,11603,11603,11603,11603,11603,11603,11603,11603,11603,11603,11603,11603,11603,11603,11603,11603,11603,11636,11636,11636,11636,11636,11636,11636,11636,11636,11629,11636,11636,11636,11636,11636,11636,11636,11636,11636,11636,11636,11636,11636,11636,11636,11636,11636,11636,11653,11653,11653,11653,11653,11782,11903,11903,11903,11903,12032,12032,12032,12032,12032,12032,12032,12032,12032,12032,12032,12032,12113,12113,12113,12113,12113,12113,12113,12113
31.08.2026 - 14.09.2026,11814,11814,11814,11814,11814,11814,11814,11814,11814,11903,11903,11903,11903,11903,11903,11903,11903,11903,11903,12134,12063,12063,12063,12063,12063,11934,12024,12086,12086,12086,12086,12086,12015,12015,12015,12015,12008,12015,12015,12015,12015,12015,12015,12015,12015,12015,12015,12015,12015,12015,12015,12015,12015,12015,12015,12015,12186,12186,12186,12265,12386,12596,12596,12596,12515,12515,12453,12453,12453,12532,12532,12532,12532,12532,12532,12532,12532,12532,12532,12532,12532,12532,12532,12774,12774
07.09.2026 - 21.09.2026,11853,11853,11853,11853,11853,11853,11853,11853,11982,11982,11982,11982,11982,11982,11982,11982,11982,11982,11982,11982,11982,11982,11982,11982,11982,11982,11982,12053,12053,12053,12053,12053,12053,12053,12053,12053,12046,12053,12053,12053,12053,12053,12053,12053,12053,12163,12163,12163,12163,12163,12163,12163,12053,12053,12163,12163,12163,12163,12053,12053,12174,12303,12303,12303,12303,12303,12303,12303,12303,12303,12303,12303,12553,12553,12553,12474,12474,12474,12403,12403,12403,12403,12403,12403,12403
14.09.2026 - 28.09.2026,12003,12003,12003,12003,12003,12003,12003,12003,12003,12003,12003,12003,12003,12003,12003,12003,12003,12003,12003,12003,12003,12003,12003,12003,12003,12103,12103,12103,12103,12103,12203,12124,12124,12124,12053,12053,12046,12053,12134,12134,12134,12134,12134,12134,12134,12224,12224,12224,12224,12224,12224,12224,12224,12224,12224,12224,12224,12224,12224,12224,12353,12474,12474,12474,12474,12474,12474,12474,12474,12474,12474,12474,12474,12474,12474,12474,12474,12474,12474,12474,12474,12474,12474,12403,12403
21.09.2026 - 05.10.2026,11734,11734,11734,11734,11734,11734,11734,11734,11734,11734,11734,11734,11734,11734,11734,11734,11734,11734,11734,11734,11734,11734,11734,11734,11734,11824,11824,11953,11953,11953,11953,11953,11882,11982,11982,11982,11975,11982,11982,11982,11982,11982,11982,11982,11982,11982,11982,11982,11982,11982,11982,11982,11982,11874,11874,11874,11874,11874,11874,11874,12132,12253,12253,12253,12253,12253,12153,12153,12153,12153,12153,12153,12153,12153,12153,12153,12153,12153,12153,12153,12153,12153,12234,12234,12234
28.09.2026 - 12.10.2026,11532,11532,11532,11532,11532,11532,11532,11532,11532,11532,11532,11532,11532,11532,11532,11532,11532,11532,11532,11532,11532,11532,11532,11532,11532,11532,11532,11603,11603,11603,11603,11603,11603,11603,11732,11732,11725,11732,11732,11624,11624,11624,11624,11624,11624,11624,11703,11703,11703,11703,11703,11874,11803,11724,11724,11724,11724,11724,11724,11724,11853,11934,11934,11934,11934,11934,11934,11853,11853,11853,11853,11853,11853,11853,11853,11853,11853,11853,11853,11853,11853,11853,11853,11853,11853
12.10.2026 - 26.10.2026,11653,11653,11653,11653,11653,11653,11653,11653,11653,11653,11653,11653,11653,11653,11653,11653,11653,11653,11653,11653,11653,11653,11653,11653,11653,11653,11653,11686,11686,11686,11686,11686,11686,11686,11686,11686,11758,11765,11765,11686,11686,11686,11686,11686,11686,11686,11686,11686,11686,11686,11686,11686,11686,11686,11686,11686,11686,11686,11686,11686,11815,11815,11815,11815,11815,11815,11815,11815,11815,11815,11815,11815,11934,11934,11934,11934,11934,11934,11934,11934,11934,11934,11934,11934,11934
19.10.2026 - 02.11.2026,12103,12103,12103,12103,12103,12103,12103,12103,12103,12103,12103,12103,12103,12103,12103,12103,12103,12503,12503,12503,12503,12503,12503,12282,12282,12282,12282,12365,12365,12365,12365,12365,12365,12365,12365,12365,12358,12365,12365,12365,12365,12365,12365,12365,12365,12365,12365,12365,12365,12365,12365,12365,12365,12365,12365,12365,12503,12503,12503,12403,12532,12532,12532,12532,12532,12532,12532,12532,12532,12532,12613,12613,12613,12613,12613,12532,12532,12532,12532,12532,12532,12532,12532,12532,12532
26.10.2026 - 09.11.2026,11324,11324,11324,11324,11324,11324,11324,11324,11324,11432,11432,11432,11324,,,,,,,,,,,11424,11424,11424,11503,11534,11534,11534,11534,11534,11634,11634,11634,11634,11628,11555,11555,11555,11555,11555,11555,11555,11555,11555,11555,11555,11555,11555,11555,11555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
