,01.03.2026 21:29:27,01.03.2026 21:33:48,02.03.2026 04:50:25,03.03.2026 04:48:49,04.03.2026 04:42:23,05.03.2026 04:46:40,06.03.2026 04:44:09,07.03.2026 04:23:11,08.03.2026 04:45:05,09.03.2026 04:53:49,10.03.2026 04:44:09,11.03.2026 04:45:09,13.03.2026 04:46:25,14.03.2026 04:44:24,15.03.2026 05:07:58,16.03.2026 05:18:01,17.03.2026 04:53:54,18.03.2026 04:58:40,19.03.2026 04:56:36,20.03.2026 04:49:24,21.03.2026 04:28:07,22.03.2026 04:54:35,22.03.2026 19:01:27,22.03.2026 19:26:29,23.03.2026 05:05:47,24.03.2026 04:55:39,25.03.2026 04:56:11,26.03.2026 05:08:50,27.03.2026 05:09:26,28.03.2026 04:54:56,29.03.2026 05:12:45,30.03.2026 05:27:37,31.03.2026 05:11:16,01.04.2026 05:27:05,02.04.2026 05:05:16,03.04.2026 05:06:49,04.04.2026 04:52:15,05.04.2026 05:14:15,06.04.2026 05:26:57,07.04.2026 05:11:25,08.04.2026 05:13:26,09.04.2026 05:11:48,10.04.2026 05:27:41,11.04.2026 04:57:58,12.04.2026 05:25:59,13.04.2026 05:44:22,14.04.2026 05:26:14,15.04.2026 05:26:36
05.03.2026 - 16.03.2026,,,5530,5766,4052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.03.2026 - 27.03.2026,6381,6381,6381,6482,6684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.11.2026 - 16.11.2026,6849,6849,6855,6855,6855,6855,6855,6855,6855,6855,6855,6855,6855,6855,6855,6855,6855,6855,6855,6855,6855,6855,6855,6855,6855,6855,6855,6855,6855,6855,6855,6855,6855,6855,6855,6855,6855,6855,6855,6855,6855,6855,6855,6855,6855,6855,6855,6855
15.11.2026 - 27.11.2026,6346,6346,6357,6357,6357,6357,6357,6357,6357,6357,6357,6357,6357,6357,6357,6357,6357,6357,6357,6357,6357,6357,6357,6357,6357,6357,6357,6357,6357,6357,6357,6357,6357,6357,6357,6357,6357,6357,6357,6357,6357,6357,6357,6357,6357,6357,6357,6357
26.11.2026 - 07.12.2026,6195,6195,6201,6201,6201,6201,6201,6302,6302,6302,6302,6302,6302,6302,6302,6302,6302,6302,6302,6302,6302,6302,6302,6302,6302,6302,6302,6302,6302,6302,6302,6302,6302,6403,6403,6403,6403,6403,6403,6403,6403,6403,6403,6403,6403,6403,6403,6403
06.12.2026 - 18.12.2026,6174,6174,6184,6184,6184,6184,6184,6184,6184,6184,6355,6456,6456,6507,6507,6507,6507,6608,6608,6608,6608,6608,6608,6608,6608,6608,6708,6708,6708,6708,6708,6708,6708,6708,6708,6708,6708,6708,6708,6708,6708,6708,6708,6708,6708,6848,6708,6809
17.12.2026 - 28.12.2026,7406,7406,7412,7412,7412,7412,7412,7412,7412,7412,7412,7412,7412,7412,7412,7412,7412,7412,7412,7412,7412,7412,7412,7412,7412,7412,7412,7412,7412,7412,7412,7412,7412,7412,7412,7412,7412,7412,7412,7412,7412,7412,7412,7412,7412,7412,7412,7412
27.12.2026 - 08.01.2027,7836,7836,7847,7847,7847,7960,7960,7960,7960,7960,7960,7960,7960,7960,7960,7960,7960,7960,8061,8061,8061,8061,8061,8061,8061,8061,8061,8061,8061,8061,8061,8061,8061,8061,8061,8061,8061,8061,8061,8061,8061,8061,8162,8263,8263,8263,8263,8263
07.01.2027 - 18.01.2027,6612,6612,6618,6618,6618,6618,6618,6618,6618,6618,6618,6618,6618,6618,6618,6618,6618,6618,6618,6618,6618,6618,6618,6618,6618,6719,6719,6719,6719,6719,6719,6719,6719,6719,6719,6719,6819,6819,6819,6819,6819,6819,6819,6819,6819,6819,6819,6819
17.01.2027 - 29.01.2027,7250,7250,7262,7262,7262,7262,7262,7262,7262,7262,7262,7262,7262,7262,7262,7262,7262,7262,7262,7262,7262,7262,7262,7262,7262,7364,7364,7364,7364,7364,7364,7364,7364,7364,7364,7364,7364,7364,7364,7364,7364,7364,7364,7364,7364,7364,7364,7364
28.01.2027 - 08.02.2027,7140,7140,7146,7146,7146,7146,7146,7146,7146,7146,7146,7146,7146,7146,7146,7146,7146,7146,7146,7253,7253,7253,7253,7253,7253,7253,7253,7253,7253,7253,7253,7253,7253,7253,7253,7253,7253,7253,7253,7253,7253,7253,7253,7253,7253,7253,7253,7253
07.02.2027 - 19.02.2027,7402,7402,7414,7414,7414,7414,7414,7414,7414,7414,7414,7414,7414,7414,7414,7414,7414,7414,7414,7414,7414,7414,7414,7414,7414,7414,7414,7414,7414,7414,7414,7414,7414,7414,7414,7414,7414,7414,7414,7414,7414,7414,7414,7414,7414,7414,7414,7414
18.02.2027 - 01.03.2027,6895,6895,6901,6901,6901,6901,6901,6901,6901,6901,6901,6901,6901,6901,6901,6901,6901,6901,6901,6901,6901,6901,6901,6901,6901,6901,7003,7003,7003,7003,7003,7003,7003,7003,7003,7003,7003,7003,7003,7003,7003,7003,7003,7003,7003,7003,7003,7003
28.02.2027 - 12.03.2027,6945,6945,6956,6956,6956,6956,6956,6956,6956,6956,6956,6956,6956,6956,6956,6956,6956,6956,6956,6956,6956,6956,6956,6956,6956,6956,6956,6956,6956,6956,6956,6956,6956,6956,6956,6956,6956,6956,6956,6956,6956,6956,6956,6956,6956,6956,6956,6956
11.03.2027 - 22.03.2027,6360,6360,6366,6366,6467,6467,6467,6467,6467,6467,6467,6467,6467,6467,6467,6467,6568,6669,6669,6669,6669,6669,6669,6669,6669,6669,6770,6770,6770,6770,6770,6770,6770,6770,6770,6770,6770,6770,6770,6770,6770,6770,6870,6870,6870,6870,6870,6870
21.03.2027 - 02.04.2027,6693,6693,6704,6704,6704,6704,6704,6704,6704,6704,6704,6704,6704,6704,6704,6704,6704,6704,6704,6704,6704,6704,6704,6704,6704,6704,6704,6704,6704,6704,6704,6704,6704,6704,6704,6704,6704,6704,6704,6704,6704,6704,6704,6704,6704,6704,6704,6704
