,01.03.2026 21:29:43,01.03.2026 21:34:03,02.03.2026 04:50:41,03.03.2026 04:49:04,04.03.2026 04:42:37,05.03.2026 04:46:55,06.03.2026 04:44:24,07.03.2026 04:23:25,08.03.2026 04:45:20,09.03.2026 04:54:04,10.03.2026 04:44:24,11.03.2026 04:45:24,13.03.2026 04:46:41,14.03.2026 04:44:39,15.03.2026 05:08:14,16.03.2026 05:18:15,17.03.2026 04:54:10,18.03.2026 04:58:56,19.03.2026 04:56:50,20.03.2026 04:49:40,21.03.2026 04:28:23,22.03.2026 04:54:51,22.03.2026 19:01:41,22.03.2026 19:26:40,23.03.2026 05:06:02,24.03.2026 04:55:55,25.03.2026 04:56:25,26.03.2026 05:09:05,27.03.2026 05:09:42,28.03.2026 04:55:10,29.03.2026 05:12:59,30.03.2026 05:27:53,31.03.2026 05:11:30,01.04.2026 05:27:22,02.04.2026 05:05:30,03.04.2026 05:07:03,04.04.2026 04:52:31,05.04.2026 05:14:30,06.04.2026 05:27:11,07.04.2026 05:11:39,08.04.2026 05:13:40
05.03.2026 - 16.03.2026,4473,4473,4873,5176,3936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.03.2026 - 27.03.2026,6880,6880,6880,6780,6996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.11.2026 - 16.11.2026,6446,6446,6449,6449,6449,6449,6449,6449,6449,6449,6449,6449,6449,6449,6449,6449,6449,6449,6449,6449,6449,6449,6449,6449,6449,6449,6449,6449,6449,6449,6449,6449,6449,6449,6449,6449,6449,6449,6449,6449,6449
15.11.2026 - 27.11.2026,5943,5943,5948,5948,5948,5948,5948,5948,5948,5948,5948,5948,5948,5948,5948,5948,5948,5948,5948,5948,5948,5948,5948,5948,5948,5948,5948,5948,5948,5948,5948,5948,5948,5948,5948,5948,6048,6048,6048,6048,6163
26.11.2026 - 07.12.2026,5793,5793,5796,5796,5796,5796,5796,5796,5796,5796,5796,5796,5796,5796,5796,5796,5796,5796,5903,5903,5903,5903,5903,5903,5903,6004,6105,6105,6105,6105,6105,6105,6105,6105,6105,6105,6305,6305,6305,6305,6305
06.12.2026 - 18.12.2026,5772,5772,5777,5777,5777,5777,5777,5777,5777,5777,5777,5777,5777,5777,5777,5777,5777,6093,6093,6093,6093,6093,6093,6093,6093,6093,6093,6193,6193,6193,6193,6193,6193,6193,6193,6193,6393,6393,6393,6393,6393
17.12.2026 - 28.12.2026,7037,7037,7040,7040,7040,7040,7040,7040,7040,7040,7040,7040,7040,7040,7040,7040,7040,7040,7040,7040,7040,7040,7040,7040,7040,7040,7040,7040,7040,7040,7040,7040,7040,7040,7040,7040,7040,7040,7040,7040,7040
27.12.2026 - 08.01.2027,7467,7467,7472,7472,7472,7472,7472,7472,7472,7472,7472,7472,7472,7472,7472,7472,7472,7472,7472,7472,7472,7472,7472,7472,7472,7472,7472,7472,7472,7472,7472,7590,7590,7590,7590,7590,7590,7590,7590,7590,7590
07.01.2027 - 18.01.2027,6261,6261,6264,6264,6264,6264,6264,6264,6264,6264,6264,6264,6264,6264,6264,6264,6264,6264,6264,6264,6264,6264,6264,6264,6264,6264,6264,6264,6264,6264,6264,6264,6264,6264,6264,6264,6264,6264,6264,6264,6264
17.01.2027 - 29.01.2027,6899,6899,6904,6904,6904,6904,6904,6904,6904,6904,6904,6904,6904,6904,6904,6904,6904,6904,6904,6904,6904,6904,6904,6904,6904,6904,6904,6904,6904,6904,6904,6904,6904,6904,6904,6904,6904,6904,6904,6904,6904
28.01.2027 - 08.02.2027,6789,6789,6791,6791,6791,6791,6791,6791,6791,6791,6791,6791,6791,6791,6791,6791,6791,6791,6791,6791,6791,6791,6791,6791,6791,6904,6904,6904,6904,6904,6904,6904,6904,6904,6904,6904,6904,6904,6904,6904,6904
07.02.2027 - 19.02.2027,6944,6944,6950,7062,7062,7062,7062,7062,7062,7062,7062,7062,7062,7062,7062,7163,7163,7163,7163,7163,7163,7163,7163,7163,7163,7163,7163,7163,7163,7163,7163,7163,7163,7163,7163,7163,7163,7163,7163,7163,7163
18.02.2027 - 01.03.2027,6443,6443,6446,6446,6446,6446,6446,6446,6446,6446,6446,6554,6554,6554,6554,6554,6554,6554,6554,6554,6554,6554,6554,6554,6554,6554,6655,6655,6655,6655,6655,6655,6655,6655,6655,6655,6655,6655,6655,6655,6655
28.02.2027 - 12.03.2027,6511,6511,6516,6516,6516,6516,6516,6516,6516,6516,6516,6516,6516,6516,6516,6516,6516,6516,6516,6516,6516,6516,6516,6516,6516,6516,6516,6516,6516,6516,6516,6516,6516,6516,6516,6516,6516,6516,6516,6516,6516
11.03.2027 - 22.03.2027,5927,5927,5929,5929,5929,6045,6045,6045,6045,6045,6045,6045,6045,6045,6045,6045,6045,6045,6045,6045,6045,6045,6045,6045,6045,6045,6095,6196,6196,6196,6196,6196,6196,6196,6196,6196,6396,6396,6396,6396,6396
21.03.2027 - 02.04.2027,6228,6228,6233,6233,6233,6233,6233,6233,6233,6233,6233,6233,6233,6233,6233,6233,6233,6233,6233,6233,6233,6233,6233,6233,6233,6233,6233,6233,6233,6233,6233,6233,6233,6332,6332,6332,6332,6332,6332,6332,6332
