,27.09.2025 21:35:57,27.09.2025 22:36:37
25.04 - 02.05,4324,4324
02.05 - 09.05,3938,3938
09.05 - 16.05,3838,3838
16.05 - 23.05,3838,3838
23.05 - 30.05,3838,3838
30.05 - 06.06,4330,4330
06.06 - 13.06,3807,3807
13.06 - 20.06,3807,3807
20.06 - 27.06,3785,3785
27.06 - 04.07,3952,3952
04.07 - 11.07,3832,3832
11.07 - 18.07,3832,3832
18.07 - 25.07,3981,3981
25.07 - 01.08,3981,3981
01.08 - 08.08,3932,3932
08.08 - 15.08,3932,3932
15.08 - 22.08,3832,3832
22.08 - 29.08,3785,3785
29.08 - 05.09,3885,3885
05.09 - 12.09,4249,4249
12.09 - 19.09,4352,4352
19.09 - 26.09,4332,4332
26.09 - 03.10,4283,4283
