,01.03.2025 03:34:11,02.03.2025 03:31:16,03.03.2025 03:32:27,04.03.2025 03:33:05,05.03.2025 03:30:56,12.03.2025 03:32:43,13.03.2025 03:34:01,14.03.2025 03:33:12,15.03.2025 03:30:26,16.03.2025 03:36:09,16.03.2025 22:26:03,17.03.2025 03:35:06,19.02.2025 22:13:26,20.02.2025 03:27:33,21.02.2025 03:28:00,22.02.2025 03:25:23,23.02.2025 03:28:42,24.02.2025 03:30:51,25.02.2025 03:30:22,26.02.2025 03:30:07,27.02.2025 03:30:24,27.02.2025 23:27:27,28.02.2025 03:30:28
19.03 - 02.04,9608,9608,9608,9608,9608,9608,9608,9608,9608,,,,,,,,,,,,,,
20.03 - 03.04,9473,9073,9473,8773,8773,9031,9031,9905,10056,10056,10056,10056,10522,10522,9439,10172,9464,9764,10172,9823,9823,9473,9473
26.03 - 09.04,9782,9782,9782,9782,9782,9782,9782,9782,9782,9782,9782,9782,,,,,,,,,,,9782
27.03 - 10.04,10095,9795,10095,9862,9862,9222,8872,8523,7825,7825,7825,,11084,11084,10909,10386,9986,10386,10153,9571,9920,10095,10095
09.04 - 23.04,9608,9608,9608,9608,9608,9608,9608,9608,9608,,,,,,,,,,,,,,9608
10.04 - 24.04,8989,8689,8989,8640,8640,9571,9571,9571,9571,,,,9687,9687,9454,9280,8980,9280,9280,9280,9280,8989,8989
23.04 - 07.05,9982,9982,9982,9982,9982,9982,9982,9982,9982,9982,9982,9982,,,,,,,,,,,9982
24.04 - 08.05,9820,9520,9820,9471,9471,10345,10345,10345,10170,9770,9770,10170,9237,9237,9412,9762,9937,9937,10170,9995,9995,9820,9820
02.10 - 16.10,9821,9821,9821,9821,9821,9821,9821,9821,9821,9821,9821,9821,,,,,,,,,,,9821
09.10 - 23.10,9821,9821,9821,9821,9821,9821,9821,9821,9821,,,,,,,,,,,,,,
23.10 - 06.11,9906,9906,9906,9906,9906,9906,9906,9906,9906,,,,,,,,,,,,,,
30.10 - 13.11,9961,9961,9961,9961,9961,9961,9961,9961,9961,,,,,,,,,,,,,,9961
06.11 - 20.11,9982,9982,9982,9982,9982,9982,9982,9982,9982,9982,9982,9982,,,,,,,,,,,9982
27.11 - 11.12,9608,9726,9726,9726,9726,9610,9610,9610,9610,,,,,,,,,,,,,,
04.12 - 18.12,9608,9608,9608,9608,9608,9608,9608,9608,9608,9608,9608,9608,,,,,,,,,,,9608
11.12 - 25.12,10047,10047,10047,10047,10047,10047,10047,10047,10047,10047,10047,10047,,,,,,,,,,,10047
19.12 - 02.01,10512,10512,10512,10512,10512,10512,10512,10512,10512,10512,10512,10512,,,,,,,,,,,10512
25.12 - 08.01,10247,10247,10247,10247,10247,10366,10366,10482,10366,10366,10366,10366,,,,,,,,,,,10247
02.01 - 16.01,9765,9765,9765,9765,9765,9885,9885,9885,9885,,,,,,,,,,,,,,9765
08.01 - 22.01,9843,9843,9843,9843,9843,9959,9959,9959,9959,9843,9843,9843,,,,,,,,,,,
15.01 - 29.01,10001,10001,10001,9885,9885,9885,9885,9885,9885,9885,9885,9885,,,,,,,,,,,9882
22.01 - 05.02,9882,9882,9882,9882,9882,9882,9882,9882,9882,9882,9882,9882,,,,,,,,,,,9882
29.01 - 12.02,9882,9882,9882,9882,9882,10001,10001,10001,10001,10001,10001,10001,,,,,,,,,,,9882
05.02 - 19.02,10001,10001,10001,9885,9885,9885,9885,9885,9885,9885,9885,9885,,,,,,,,,,,9882
12.02 - 26.02,9882,10001,10001,10117,10117,10234,10234,10200,10200,10200,10200,10200,,,,,,,,,,,9882
19.02 - 05.03,9765,9885,10001,10001,10001,10117,10117,10200,10200,10200,10200,10200,,,,,,,,,,,9765
26.02 - 12.03,9765,9765,9765,9765,9765,9765,9765,9765,9765,,,,,,,,,,,,,,
27.02 - 13.03,,,,,,,,,,,,,,,10153,10153,9953,10153,,,,,
05.03 - 19.03,9608,9608,9608,9608,9608,9610,9610,9610,9610,9610,9610,9610,,,,,,,,,,,9608
06.03 - 20.03,10618,10618,10386,,,,,,,,,,11317,11317,10817,11317,11117,11317,11317,11666,11317,10618,10618
12.03 - 26.03,9608,9608,9608,9608,9608,9608,9608,9608,9608,9608,9608,9608,,,,,,,,,,,9608
