,16.03.2025 22:28:52,17.03.2025 03:37:57,17.03.2025 21:20:31,18.03.2025 03:38:01,19.03.2025 03:37:19,20.03.2025 03:35:54,21.03.2025 03:37:54,22.03.2025 03:39:54,23.03.2025 03:40:04,24.03.2025 03:41:51,25.03.2025 03:38:53
27.03 - 08.04,,,,,,,9842,,,,
30.03 - 10.04,9358,9358,9358,9358,9358,9358,,9358,9358,9358,9358
03.04 - 15.04,,,,,,,9421,,,,
06.04 - 17.04,,,9708,9708,9708,9708,,9708,9708,9708,9708
07.04 - 18.04,10792,10792,9792,9792,,,,9381,,,
10.04 - 22.04,,,,,,,9487,,,,
13.04 - 24.04,9837,9837,9837,9837,9837,9837,,9643,9643,9643,9643
17.04 - 29.04,,,,,,,9749,,,,
18.04 - 29.04,,,,,12064,11264,,9840,,,
20.04 - 01.05,9837,9837,9939,9939,9939,9939,,9939,9939,9939,10069
21.04 - 02.05,,,,,11692,11841,,,,,
24.04 - 06.05,,,,,,,10666,,,,
25.04 - 06.05,13291,13291,12407,12407,11939,12224,,12123,12123,12265,12265
27.04 - 08.05,11103,11103,11103,11103,11103,11103,,11001,11001,11001,11001
28.04 - 09.05,12451,12451,11670,11670,11670,12238,,12282,12140,12140,11856
09.05 - 21.05,,,,,,,14130,,,,
12.05 - 23.05,,,17999,17999,16310,16207,,16207,16207,16207,14779
16.05 - 27.05,11618,11618,11500,11500,11646,11646,,11646,11646,11646,11646
16.05 - 28.05,,,,,,,14162,,,,
19.05 - 30.05,12471,12471,12471,12471,11092,11092,,11092,11202,11202,11202
23.05 - 03.06,11941,11941,11831,11831,11356,11356,,11356,11356,11492,11492
23.05 - 04.06,,,,,,,13534,,,,
26.05 - 06.06,15458,15458,15458,15458,14745,14745,,14745,14745,14745,14745
30.05 - 10.06,15464,15464,15464,15464,14536,14536,,14536,14536,14536,14536
02.06 - 13.06,12882,12882,12882,12882,12181,12181,,12181,12181,12181,12181
06.06 - 17.06,13217,13217,13217,13217,13217,13217,,13217,13217,13217,13217
06.06 - 18.06,,,,,,,13306,,,,
09.06 - 20.06,12619,12619,12619,12619,12619,12619,,12619,12619,12619,12619
13.06 - 24.06,10848,10848,10848,10848,10397,10397,,10397,10397,10397,10526
13.06 - 25.06,,,,,,,12653,,,,
16.06 - 27.06,12909,12909,12909,12909,12162,12162,,12162,12162,12162,12162
20.06 - 02.07,,,,,,,13263,,,,
27.06 - 09.07,,,,,,,12905,,,,
30.06 - 11.07,,,14208,14208,14208,14208,,14208,14208,14208,14208
04.07 - 15.07,13694,13694,13694,13694,13952,13850,,14080,14080,14080,14080
04.07 - 16.07,,,,,,,14698,,,,
11.07 - 23.07,,,,,,,13654,,,,
14.07 - 25.07,14147,14147,14147,14147,14147,14147,,14147,14147,14147,14147
18.07 - 30.07,,,,,,,14514,,,,
21.07 - 01.08,,,13152,13152,13494,13494,,13494,13710,13710,13710
