,22.03.2026 19:02:42,22.03.2026 19:27:20,23.03.2026 05:07:11,24.03.2026 04:57:10,25.03.2026 04:57:25,26.03.2026 05:10:16,27.03.2026 05:10:52,28.03.2026 04:56:11,29.03.2026 05:13:59,30.03.2026 05:29:04,31.03.2026 05:12:34,01.04.2026 05:28:37,02.04.2026 05:06:32,03.04.2026 05:08:06,04.04.2026 04:53:42,05.04.2026 05:15:33,06.04.2026 05:28:13,07.04.2026 05:12:39,08.04.2026 05:14:40,09.04.2026 05:13:02,10.04.2026 05:29:12,11.04.2026 04:59:23,12.04.2026 05:27:19,13.04.2026 05:45:45,14.04.2026 05:27:40,15.04.2026 05:27:59,16.04.2026 05:34:14,17.04.2026 05:32:04,18.04.2026 05:10:14,19.04.2026 05:33:11,20.04.2026 05:45:22,21.04.2026 05:30:42
27.03.2026 - 11.04.2026,9425,9425,,,,6993,,,,,,,,,,,,,,,,,,,,,,,,,,
10.04.2026 - 25.04.2026,,,,,,,,,11685,,11685,,11285,11035,,10585,10753,10753,,,,,,,,,,,,,,
24.04.2026 - 09.05.2026,8996,8996,9396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.04.2026 - 10.05.2026,,,,9378,9078,8728,8728,8728,8328,8728,8728,,,,,,,,,,,,,,,,,,,,,
05.11.2026 - 20.11.2026,10811,10811,10811,10879,10879,10879,10879,10811,10811,10811,10879,10879,10879,10879,10811,10811,10811,10811,10811,10811,10811,10941,10941,10941,10941,10941,11041,11041,11041,11041,11041,11157
12.11.2026 - 27.11.2026,10462,10462,10462,10462,10462,10462,10462,10462,10462,10462,10462,10462,10462,10462,10562,10562,10562,10562,10562,10562,10562,10562,10562,10562,10562,10562,10562,10562,10562,10562,10562,10637
19.11.2026 - 04.12.2026,10612,10612,10612,10612,10612,10612,10612,10612,10612,10612,10612,10612,10612,10612,10612,10612,10612,10612,10612,10612,10612,10612,10612,10612,10612,10612,10612,10612,10612,10612,10612,10688
26.11.2026 - 11.12.2026,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10445
03.12.2026 - 18.12.2026,9986,9986,9986,9990,9990,9990,9990,9990,9990,9990,9990,9990,9990,9990,9990,9990,9990,9990,9990,9990,10045,10045,10045,10045,10045,10045,9990,9990,9990,9990,9990,10066
10.12.2026 - 25.12.2026,9997,9997,9997,9997,9997,9997,9997,9943,9943,9943,9943,9943,9943,9943,9943,9943,9943,9997,9997,9997,9997,9943,9943,9943,9943,9943,9943,9943,9943,9997,9997,10123
17.12.2026 - 01.01.2027,11289,11289,11289,11234,11234,11234,11234,11234,11234,11234,11234,11234,11234,11234,11234,11234,11234,11234,11234,11234,11234,11234,11234,11234,11234,11234,11234,11234,11234,11234,11234,11962
24.12.2026 - 08.01.2027,11358,11358,11358,11358,11358,11508,11512,11512,11512,11512,11512,11508,11508,11508,11508,11508,11508,11508,11508,11512,11512,11612,11812,11812,11812,11812,11812,11812,11812,11812,11812,11812
31.12.2026 - 15.01.2027,10948,10948,10948,10948,10948,10948,10948,10948,10948,10948,10948,10948,10948,10948,10948,10948,10948,10948,10948,10948,10948,11078,11078,11078,11078,11078,11078,11078,11078,11078,11078,11078
07.01.2027 - 22.01.2027,10727,10727,10727,10727,10727,10747,10727,10727,10727,10727,10727,10727,10727,10727,10727,10727,10727,10727,10727,10727,10727,10827,10847,10847,10847,10847,10847,10827,10827,10827,10827,10827
14.01.2027 - 29.01.2027,10741,10741,10741,10741,10741,10741,10741,10741,10741,10741,10741,10741,10741,10741,10741,10741,10741,10741,10741,10741,10841,10841,10841,10841,10896,10896,10896,10896,10841,10841,10841,10841
21.01.2027 - 05.02.2027,11668,11668,11668,11668,11668,11668,11668,11668,11668,11668,11668,11668,11668,11668,11668,11668,11668,11668,11668,11668,11668,11798,11798,11798,11798,11798,11798,11798,11798,11798,11798,11798
28.01.2027 - 12.02.2027,12208,12208,12208,12208,12208,12208,12208,12208,12208,12208,12208,12208,12208,12208,12208,12208,12208,12208,12208,12208,12208,12208,12208,12208,12208,12208,12208,12208,12208,12235,12235,12435
04.02.2027 - 19.02.2027,12154,12154,12154,12154,12154,12154,12154,12154,12154,12154,12154,12154,12154,12154,12154,12154,12154,12154,12154,12154,12154,12284,12284,12284,12284,12284,12284,12284,12284,12284,12284,12484
11.02.2027 - 26.02.2027,11186,11186,11186,11186,11186,11186,11186,11186,11186,11186,11186,11186,11255,11316,11316,11316,11316,11316,11316,11316,11316,11541,11541,11541,11541,11541,11541,11541,11541,11541,11541,11541
