,01.03.2026 21:28:57,01.03.2026 21:33:19,02.03.2026 04:49:56,03.03.2026 04:48:23,04.03.2026 04:41:57,05.03.2026 04:46:14,06.03.2026 04:43:41,07.03.2026 04:22:44,08.03.2026 04:44:36,09.03.2026 04:53:21,10.03.2026 04:43:41,11.03.2026 04:44:43,13.03.2026 04:45:56,14.03.2026 04:43:58,15.03.2026 05:07:28,16.03.2026 05:17:34,17.03.2026 04:53:25,18.03.2026 04:58:12,19.03.2026 04:56:10,20.03.2026 04:48:53,21.03.2026 04:27:37,22.03.2026 04:54:06,22.03.2026 19:01:01,22.03.2026 19:26:12,23.03.2026 05:05:17,24.03.2026 04:55:08,25.03.2026 04:55:45,26.03.2026 05:08:21,27.03.2026 05:08:57,28.03.2026 04:54:30,29.03.2026 05:12:19,30.03.2026 05:27:08,31.03.2026 05:10:50,01.04.2026 05:26:35,02.04.2026 05:04:50,03.04.2026 05:06:24,04.04.2026 04:51:46,05.04.2026 05:13:49,06.04.2026 05:26:29,07.04.2026 05:10:59,08.04.2026 05:13:00,09.04.2026 05:11:23,10.04.2026 05:27:10,11.04.2026 04:57:29,12.04.2026 05:25:33,13.04.2026 05:43:55,14.04.2026 05:25:43,15.04.2026 05:26:08,16.04.2026 05:32:33,17.04.2026 05:30:06,18.04.2026 05:08:27,19.04.2026 05:31:08,20.04.2026 05:43:36,21.04.2026 05:28:56,22.04.2026 05:27:55,23.04.2026 05:32:22,24.04.2026 05:37:18,25.04.2026 05:13:14,26.04.2026 05:41:31,27.04.2026 05:56:44
12.03.2026 - 23.03.2026,8612,8612,8612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.11.2026 - 20.11.2026,9280,9280,9286,9286,9286,9286,9286,9286,9286,9286,9061,9342,9342,9342,9342,9342,9342,9342,9342,9342,9342,9342,9342,9342,9342,9342,9342,9342,9342,9342,9342,9342,9342,9342,9342,9342,9342,9342,9342,9342,9342,9342,9342,9342,9342,9342,9342,9342,9342,9342,9342,9342,9342,9342,9342,9342,9342,9342,9342,9337
19.11.2026 - 30.11.2026,8535,8535,8537,8537,8537,8537,8537,8521,8521,8521,8359,8598,8709,8709,8709,8709,8709,9043,9043,9043,9043,9043,9043,9043,9043,9043,9243,9243,9243,9243,9243,9243,9243,9243,9243,9243,9243,9243,9243,9243,9243,9243,9243,9243,9243,9243,9243,9243,9243,9243,9243,9243,9243,9243,9243,9243,9243,9243,9243,9240
29.11.2026 - 11.12.2026,8590,8590,8595,8595,8657,8657,8595,8595,8595,8595,8371,8642,8642,8642,8642,8642,8642,8642,8642,8642,8642,8642,8642,8642,8642,8642,8642,8642,8642,8642,8642,8642,8642,8642,8642,8642,8642,8642,8642,8727,8727,8727,8727,8727,8727,8727,8727,8727,8727,8727,8727,8727,8727,8727,8785,8785,8785,8727,8727,8722
10.12.2026 - 21.12.2026,8374,8374,8376,8376,8376,8376,8376,8376,8376,8376,8208,8405,8405,8405,8405,8405,8405,8405,8405,8405,8405,8468,8468,8468,8468,8405,8405,8405,8405,8405,8405,8405,8405,8405,8405,8405,8405,8405,8405,8468,8468,8468,8468,8405,8405,8405,8405,8405,8405,8405,8405,8405,8405,8405,8405,8405,8405,8405,8405,8403
20.12.2026 - 31.12.2026,9678,9678,9681,9681,9681,9681,9681,9572,9572,9572,9455,9688,9688,9688,9688,9688,9688,9688,9688,9688,9688,9688,9688,9688,9688,9688,9688,9688,9688,9688,9688,9688,9688,9688,9688,9688,9688,9688,9688,9688,9688,9688,9688,9688,9688,9688,9688,9688,9688,9688,9688,9688,9688,9688,9688,9688,9688,9688,9688,9685
30.12.2026 - 11.01.2027,9839,9839,9844,9844,9844,9844,9844,9844,9844,9844,9620,9890,9890,9890,9890,9890,9890,9890,9890,9890,9890,9890,9890,9890,9890,9890,9890,9890,9890,9890,9890,9890,9890,9890,9890,9890,9890,9890,9890,9890,9890,9890,9890,9890,9890,9890,9890,9890,9890,9890,9890,9890,9890,9890,9890,9890,9890,9890,9890,9885
10.01.2027 - 22.01.2027,8746,8746,8751,8751,8689,8689,8689,8689,8689,8689,8464,8732,8732,8732,8732,8732,8732,8732,8732,8732,8732,8732,8732,8732,8732,8732,8817,8817,8817,8817,8817,8817,8732,8732,8732,8732,8732,8732,8732,8732,8732,8732,8732,8732,8732,8732,8732,8732,8732,8732,8817,8732,8732,8843,8843,8843,8843,8843,8843,8838
21.01.2027 - 01.02.2027,9280,9280,9283,9402,9402,9402,9402,9402,9402,9402,9234,9425,9425,9425,9425,9425,9425,9425,9425,9425,9425,9425,9425,9425,9425,9425,9425,9425,9425,9425,9425,9425,9425,9425,9425,9425,9425,9425,9425,9425,9425,9425,9425,9425,9425,9488,9488,9580,9580,9580,9425,9425,9425,9425,9425,9425,9425,9425,9425,9422
31.01.2027 - 12.02.2027,9640,9640,9645,9645,9645,9645,9645,9645,9645,9645,9420,9682,9682,9682,9682,9682,9682,9682,9682,9682,9682,9682,9682,9682,9682,9682,9682,9682,9682,9682,9682,9682,9682,9682,9682,9682,9682,9682,9682,9682,9682,9682,9682,9682,9682,9682,9682,9682,9682,9682,9682,9682,9682,9682,9682,9682,9682,9682,9682,9677
