,07.02.2025 21:16:15,08.02.2025 03:22:51,09.02.2025 03:25:15,10.02.2025 03:26:42,11.02.2025 03:25:25,12.02.2025 03:24:54,13.02.2025 03:25:08,14.02.2025 03:25:18,15.02.2025 03:25:47,16.02.2025 03:27:33,17.02.2025 03:27:57,18.02.2025 03:24:34,19.02.2025 03:28:26,19.02.2025 22:12:17,20.02.2025 03:26:18,21.02.2025 03:26:50,22.02.2025 03:24:13,23.02.2025 03:27:33,24.02.2025 03:29:37,25.02.2025 03:29:08,26.02.2025 03:28:57,27.02.2025 03:29:12,27.02.2025 23:26:12,28.02.2025 03:29:19,01.03.2025 03:33:00,02.03.2025 03:30:05,03.03.2025 03:31:14,04.03.2025 03:31:54,05.03.2025 03:29:46,12.03.2025 03:31:29,13.03.2025 03:32:39,14.03.2025 03:31:50,15.03.2025 03:29:11,16.03.2025 03:34:57,16.03.2025 22:24:47,17.03.2025 03:33:52,17.03.2025 21:16:01,18.03.2025 03:33:28,19.03.2025 03:32:50,20.03.2025 03:31:46,21.03.2025 03:33:45,22.03.2025 03:35:19,23.03.2025 03:35:28,24.03.2025 03:37:04,25.03.2025 03:34:45,26.03.2025 03:33:43,27.03.2025 03:37:08
01.04 - 13.04,,,,,,,,,,,,,,,,,,,,,,,,,15774,15774,15774,15774,15774,15774,15774,15774,15774,,,,15774,15774,15774,15774,15774,15774,15774,15774,15774,15774,15774
02.04 - 14.04,16927,16927,16927,16927,17227,17327,16727,16727,16927,16927,16927,16527,16527,15227,15227,16027,14927,14927,14927,14927,14427,14127,14227,14227,14477,14377,14377,14577,14727,14927,14627,14027,,,,,,,,,,,,,,,
08.04 - 20.04,,,,,,,,,,,,,,,,,,,,,,,,,15486,15486,15486,15486,15486,15486,15486,15486,15486,,,,15486,15486,15486,15486,15486,15486,15486,15486,15486,15486,15486
09.04 - 21.04,16927,16927,16927,16927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.04 - 27.04,,,,,,,,,,,,,,,,,,,,,,,,,15123,15123,15123,15123,15123,15226,15226,15226,15226,,,,15226,15226,15226,15226,15326,15326,15326,15326,15326,15326,15326
16.04 - 28.04,17577,17577,17577,17577,17577,17577,17577,17577,17577,17577,17577,17027,17027,16427,16427,15827,15027,15027,15027,14526,14027,13526,13627,13627,13827,13527,14827,15127,15427,15727,15877,15877,15877,,,,15327,15327,14927,14627,14226,14526,14526,14526,,,
22.04 - 04.05,,,,,,,,,,,,,,,,,,,,,,,15973,15976,16076,16076,16076,16076,16076,15976,15976,15976,15976,15976,15976,15976,15976,15976,15976,15976,15976,16076,16076,16076,16076,16176,16176
23.04 - 05.05,17827,17827,17827,17827,17827,17827,17827,17827,17827,17827,17827,16927,16927,18177,18177,17727,17327,17327,17327,17026,16427,16026,16026,16026,16026,15726,15426,16026,16126,15626,15426,,,,,,15926,15926,15526,15226,14926,15026,15026,15026,14826,14826,14876
29.04 - 11.05,,,,,,,,,,,,,,,,,,,,,,,16076,16076,16276,16276,16276,16376,16376,16276,16276,16276,16276,16276,16276,16276,16276,16276,16276,16576,16576,16576,16576,16576,16276,16276,16276
30.04 - 12.05,18376,18376,18376,18376,18376,18476,18476,17926,17926,17926,17926,17727,17727,17377,17377,17977,17426,17426,17426,17626,17777,17577,17577,17577,17577,17577,17226,17026,16726,15826,15526,14726,14726,14126,14126,14126,15476,15476,15226,15226,14826,14526,14026,14726,14426,14926,
